version,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1
double_threshold_045_060,2014-06-05,12,0.45,0.6,0.07335904314187074,0.7401574803149606,0.5402885292047854,0.8436018957345972
double_threshold_045_060,2014-12-05,4,0.45,0.6,-1.9844900478373573,0.6178861788617886,0.561046511627907,0.718562874251497
double_threshold_045_060,2015-06-05,12,0.45,0.6,0.4652508415044888,0.6377952755905512,0.6355406746031746,0.4888888888888889
double_threshold_045_060,2015-12-07,12,0.45,0.6,0.12099375363849257,0.6935483870967742,0.6803689064558629,0.7432432432432432
double_threshold_045_060,2016-06-07,12,0.45,0.6,0.21825045130862336,0.6614173228346457,0.4746246246246246,0.7942583732057417
double_threshold_045_060,2016-12-07,12,0.45,0.6,2.530422181106433,0.975609756097561,0.5,0.9876543209876543
double_threshold_045_060,2017-06-07,12,0.45,0.6,2.4590129443609547,0.9291338582677166,0.5,0.963265306122449
double_threshold_045_060,2017-12-07,12,0.45,0.6,0.37185182188902705,0.6585365853658537,0.6312399355877617,0.7375
double_threshold_045_060,2018-06-07,12,0.45,0.6,-0.4543916385678315,0.7777777777777778,0.7243589743589743,0.8409090909090909
double_threshold_045_060,2018-12-07,12,0.45,0.6,0.03555662093911558,0.6504065040650406,0.6359182530795073,0.7114093959731543
double_threshold_045_060,2019-06-07,8,0.45,0.6,0.14522405618341774,0.7322834645669292,0.639943074003795,0.8210526315789474
double_threshold_045_060,2019-12-09,12,0.45,0.6,-0.08681898810440365,0.6854838709677419,0.6831103678929766,0.7346938775510204
double_threshold_045_060,2020-06-09,0,0.45,0.6,0.7866879968672958,0.8267716535433071,0.8397988505747127,0.8641975308641975
double_threshold_045_060,2020-12-09,0,0.45,0.6,1.6329825473551574,0.8861788617886179,0.7722222222222223,0.9333333333333333
double_threshold_045_060,2021-06-09,0,0.45,0.6,1.43137983605854,0.905511811023622,0.8501344086021505,0.9387755102040817
double_threshold_045_060,2021-12-09,0,0.45,0.6,-1.0588435115667716,0.9112903225806451,0.90149136577708,0.8070175438596491
double_threshold_045_060,2022-06-09,0,0.45,0.6,-1.2943387542271971,0.8650793650793651,0.8308641975308642,0.7901234567901234
double_threshold_045_060,2022-12-09,4,0.45,0.6,0.5480261902126481,0.7479674796747967,0.7465572033898304,0.7633587786259542
double_threshold_045_060,2023-06-09,4,0.45,0.6,2.1304008649711363,0.8571428571428571,0.865044814340589,0.8636363636363636
double_threshold_045_060,2023-12-11,0,0.45,0.6,2.9163614932339965,0.9354838709677419,0.9161425576519916,0.9615384615384616
double_threshold_045_060,2024-06-11,0,0.45,0.6,0.9591055383646617,0.9047619047619048,0.8777106292214718,0.9375
double_threshold_045_060,2024-12-11,4,0.45,0.6,0.05690712885942327,0.7950819672131147,0.8054617117117118,0.7663551401869159
double_threshold_045_060,2025-06-11,4,0.45,0.6,1.751609801607641,0.873015873015873,0.6108108108108108,0.9298245614035088
double_threshold_045_060,2025-12-11,4,0.45,0.6,-0.509456744367807,0.7560975609756098,0.7711811997526283,0.7368421052631579
single_threshold_t55,2000-05-26,0,,0.55,-2.812145436251043,0.8492063492063492,0.7156862745098039,0.5581395348837209
single_threshold_t55,2000-11-27,0,,0.55,0.09822505390973667,0.8790322580645161,0.8793939393939394,0.7457627118644068
single_threshold_t55,2001-05-29,0,,0.55,-1.4283244004154836,0.9354838709677419,0.8930817610062893,0.7894736842105263
