Date,equity_buy_and_hold,equity_penalty_0_0,equity_penalty_1_0,equity_penalty_2_0,equity_penalty_3_0,equity_penalty_4_0,equity_penalty_5_0
2013-04-11,2.1017450382448053,7.78528198907087,5.661516711100723,4.46961630186382,3.605545756974465,2.7529052442418385,2.785179919111642
2013-04-12,2.0965955654252975,7.766207316707944,5.64764546321361,4.458665321967944,3.5967118310999275,2.7461603677359125,2.7783559666198205
2013-04-15,2.048009349761964,7.76234269849632,5.516767708347196,4.355340828452754,3.513362128569561,2.6825212271819496,2.713970729710137
2013-04-16,2.0782434206586577,7.873054372877022,5.598209888303136,4.419637255323076,3.565228708032823,2.722122382798711,2.754036163719579
2013-04-17,2.0478767209859408,7.8691365854590805,5.595424108448883,4.355058777238823,3.5131346037690068,2.682347507512624,2.713794973375779
2013-04-18,2.0350709277408514,7.869152194938763,5.59543520771727,4.3528898866888825,3.511385005237155,2.665574238281774,2.6968250566896415
2013-04-19,2.052762825552206,7.869167804449408,5.595446307007674,4.352898521225278,3.511391970536626,2.6887474193190624,2.7202699168503726
2013-04-22,2.06187189080462,7.900152385158244,5.617478186618046,4.352907155778801,3.525217957046906,2.7006786445853073,2.7323410221277697
2013-04-23,2.0831283916456416,7.981597598397842,5.6753905769710995,4.395606222852969,3.561560563395504,2.728520809821652,2.7605096050032807
2013-04-24,2.0844480038834363,7.986653750438321,5.678985801773215,4.398390734737817,3.5638167272133234,2.7302492627898696,2.7622583221116073
2013-04-25,2.0928989633858754,8.019033971618802,5.7020100647609695,4.416223092228108,3.5782654785276686,2.7413184887472526,2.7734573221211782
2013-04-26,2.089201479673678,8.004866900959238,5.691936434972779,4.4084210371654375,3.571943826810966,2.736475454926982,2.768557509251843
2013-04-29,2.1031962716325965,8.058488558816407,5.730064622716199,4.437951427547932,3.59587096415579,2.7548060970718318,2.787103057273536
2013-04-30,2.108213619489096,8.077712746707258,5.7437341636145725,4.448538526043011,3.604449210379216,2.7613779138122094,2.793751921071397
2013-05-01,2.089729601665954,8.006890423485316,5.693375279832496,4.409535426621692,3.5728467660958874,2.7371671990613464,2.7692573632973914
2013-05-02,2.1091382423236524,8.081255479562957,5.746253257369686,4.450489571356237,3.6060300539972947,2.762589002219166,2.794977208108929
2013-05-03,2.130526490267923,8.163205487594418,5.804524586841096,4.495620882578724,3.642597910642108,2.7906037322932273,2.8233203789481047
2013-05-06,2.1359397092004353,8.18394647283787,5.8192726608647005,4.507043308061879,3.651852984476434,2.7976940684264755,2.8304938411874536
2013-05-07,2.146765895158953,8.225427478133973,5.848768122603844,4.529887627480631,3.6703627014561837,2.8118744107410834,2.8448404318459537
2013-05-08,2.156535837132919,8.262861438377916,5.87538589462355,4.550503167986874,3.6870665398660916,2.8246712647869625,2.857787314413356
2013-05-09,2.1504616155256007,8.239587792457893,5.858836948235576,4.537685961710393,3.6766813383505674,2.816715134898135,2.8497379079739025
2013-05-10,2.1574598302012076,8.266401758256599,5.877903272608499,4.552452884431204,3.6886463067619135,2.8258815283141976,2.8590117669003927
2013-05-13,2.1591765730475507,8.272979533603714,5.882580462076174,4.5560753810419214,3.6915814516351477,2.8281301504347285,2.8612867515511984
2013-05-14,2.181488940013363,8.358470344109259,5.943369512686566,4.603156674482516,3.7297292905202335,2.857355309011969,2.8908545417875096
2013-05-15,2.1932388671336622,8.403490704093235,5.975381666102593,4.62795017879804,3.749818343706902,2.8727455849019234,2.906425251112848
2013-05-16,2.1829416848401957,8.364036599491035,5.947327451301398,4.606222109251997,3.732213073423233,2.8592581415532896,2.8927796828705903
2013-05-17,2.2040663126247155,8.444976535343368,6.004880559382064,4.650797155954583,3.768330214131166,2.8869275769759737,2.9207735108723383
2013-05-20,2.2039335578954384,8.444467879788279,6.0045188750314455,4.650517030391289,3.7681032410793396,2.886753692330703,2.9205975876278814
2013-05-21,2.207101786036078,8.456607084563137,6.0131505715736235,4.657202304033694,3.773520015411059,2.890903497233112,2.924796044260777
2013-05-22,2.1907293745092646,8.393875473277687,5.9685446651521925,4.622654902020936,3.7455278208562546,2.8694586041880967,2.9030997342982734
2013-05-23,2.184393673947507,8.369599959300393,5.951283330992034,4.609285949378802,3.7346955642595248,2.8611599842389452,2.8947038224930774
2013-05-24,2.1825451839979157,8.362517389161416,5.946247202406004,4.605385453395026,3.731535169090076,2.858738797280698,2.892254249878608
2013-05-28,2.195616612654813,8.412601140116921,5.981859727934639,4.632967456202086,3.7538836162613354,2.875860000778034,2.9095761799637594
2013-05-29,2.181356941003609,8.357964584126591,5.943009887260146,4.6028781435619,3.729503609535117,2.8571824142223643,2.8906796200036484
2013-05-30,2.189410895850753,8.388823664595842,5.964952528736375,4.619872782100102,3.743273595138499,2.8677316360033784,2.90135251938084
2013-05-31,2.1579885819597524,8.268427693759698,5.879343833238384,4.553568602756356,3.689550322769093,2.826574097328284,2.8597124554964384
2013-06-03,2.1698702561832994,8.313952848535536,5.911714925772766,4.578640106444939,3.709864626251975,2.8421369380559547,2.8754577527854406
2013-06-04,2.159439815347542,8.273988157996635,5.8832976540048225,4.556630848240486,3.6920315215386754,2.8284749501582738,2.86163559365833
