version,reentry_date,lag_days
final_recovery_overlay_gspc_to_spy,2019-09-11,40
final_recovery_overlay_gspc_to_spy,2019-10-15,14
final_recovery_overlay_gspc_to_spy,2020-05-19,74
final_recovery_overlay_gspc_to_spy,2020-07-10,88
final_recovery_overlay_gspc_to_spy,2020-10-07,89
final_recovery_overlay_gspc_to_spy,2020-10-23,88
final_recovery_overlay_gspc_to_spy,2020-11-04,86
final_recovery_overlay_gspc_to_spy,2021-02-02,89
final_recovery_overlay_gspc_to_spy,2021-03-01,89
final_recovery_overlay_gspc_to_spy,2021-03-10,89
final_recovery_overlay_gspc_to_spy,2021-05-20,58
final_recovery_overlay_gspc_to_spy,2021-06-21,90
final_recovery_overlay_gspc_to_spy,2021-07-20,90
final_recovery_overlay_gspc_to_spy,2021-10-07,83
final_recovery_overlay_gspc_to_spy,2021-10-14,90
final_recovery_overlay_gspc_to_spy,2021-12-07,61
final_recovery_overlay_gspc_to_spy,2021-12-22,76
final_recovery_overlay_gspc_to_spy,2022-01-11,90
final_recovery_overlay_gspc_to_spy,2022-02-02,0
final_recovery_overlay_gspc_to_spy,2022-03-18,44
final_recovery_overlay_gspc_to_spy,2022-07-21,0
final_recovery_overlay_gspc_to_spy,2022-07-28,7
final_recovery_overlay_gspc_to_spy,2022-10-25,90
final_recovery_overlay_gspc_to_spy,2022-10-28,0
final_recovery_overlay_gspc_to_spy,2022-11-10,9
final_recovery_overlay_gspc_to_spy,2022-11-30,14
final_recovery_overlay_gspc_to_spy,2023-01-17,0
final_recovery_overlay_gspc_to_spy,2023-01-23,0
final_recovery_overlay_gspc_to_spy,2023-04-03,41
final_recovery_overlay_gspc_to_spy,2023-05-30,35
final_recovery_overlay_gspc_to_spy,2023-09-14,83
final_recovery_overlay_gspc_to_spy,2023-11-08,55
final_recovery_overlay_gspc_to_spy,2024-05-08,86
final_recovery_overlay_gspc_to_spy,2024-08-19,82
final_recovery_overlay_gspc_to_spy,2024-09-13,8
final_recovery_overlay_gspc_to_spy,2024-11-07,63
final_recovery_overlay_gspc_to_spy,2025-01-21,34
final_recovery_overlay_gspc_to_spy,2025-05-05,0
final_recovery_overlay_gspc_to_spy,2025-12-01,90
final_recovery_overlay_gspc_to_spy,2025-12-18,2
final_recovery_overlay_gspc_to_spy,2026-01-22,37
final_recovery_overlay_gspc_to_spy,2026-02-02,48
final_recovery_overlay_gspc_to_spy,2026-02-06,52
final_recovery_overlay_gspc_to_spy,2026-02-24,70
final_recovery_overlay_gspc_to_spy,2026-04-08,64
