Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bear_flag
2013-12-30,0.9989577531814575,0.9200802787708605,1,0
2013-12-31,0.9975066781044006,0.9323990964588241,1,0
2014-01-02,0.9978479146957397,0.9428122380577254,1,0
2014-01-03,0.9861761927604675,0.9497115986997072,1,0
2014-01-06,0.9801501035690308,0.9545544739387338,1,0
2014-01-07,0.9781767129898071,0.9583128568514934,1,0
2014-01-08,0.9796120524406433,0.9617016352219394,1,0
2014-01-09,0.9743547439575195,0.9637147901799548,1,0
2014-01-10,0.9640260934829712,0.9637643196514081,1,0
2014-01-13,0.9906421303749084,0.9680406756876492,1,0
2014-01-14,0.7120652198791504,0.9273140630614526,1,0
2014-01-15,0.8490470051765442,0.9148614935844186,1,0
2014-01-16,0.987757682800293,0.9264595386030077,1,0
2014-01-17,0.9650265574455261,0.9325956895538299,1,0
2014-01-21,0.9555792808532715,0.9362524613199146,1,0
2014-01-22,0.9722703099250793,0.9419830301478452,1,0
2014-01-23,0.9723895192146301,0.9468208115579195,1,0
2014-01-24,0.6356288194656372,0.8973090500716997,1,0
2014-01-27,0.024399111047387123,0.7584259496122701,1,0
2014-01-28,0.013082083314657211,0.6398390686156636,1,0
2014-01-29,0.03653402626514435,0.5438510736821864,1,0
2014-01-30,0.0039592827670276165,0.4579523543724926,1,0
2014-01-31,0.15436144173145294,0.40964995187490677,0,1
2014-02-03,0.038033679127693176,0.35052447073077175,0,1
2014-02-04,0.0011416999623179436,0.29493641945292104,0,1
2014-02-05,0.0012443572049960494,0.0012443572049960494,0,1
2014-02-06,0.0014763148501515388,0.0012812624978495945,0,1
2014-02-07,0.04330873489379883,0.007967984013870678,0,1
2014-02-10,0.2718673646450043,0.049955321484608496,0,1
2014-02-11,0.7334197163581848,0.1586969567554453,0,1
2014-02-12,0.8702093958854675,0.27190113641260505,0,1
2014-02-13,0.765177309513092,0.35038314382282176,0,1
2014-02-14,0.9899139404296875,0.4521347861186217,1,0
2014-02-18,0.9867749214172363,0.5371979481938703,1,0
2014-02-19,0.9874832630157471,0.6088399559406407,1,0
2014-02-20,0.9134983420372009,0.6573121972916213,1,0
2014-02-21,0.9889771342277527,0.7100812776928105,1,0
2014-02-24,0.9482260942459106,0.7479709716951553,1,0
2014-02-25,0.9938642978668213,0.7870934813542549,1,0
2014-02-26,0.9785399436950684,0.8175532997996731,1,0
2014-02-27,0.9843668341636658,0.8440939311011819,1,0
2014-02-28,0.9931943416595459,0.8678163409081605,1,0
2014-03-03,0.9934780597686768,0.8878095708442486,1,0
2014-03-04,0.9634496569633484,0.8998441796963151,1,0
2014-03-05,0.9982461929321289,0.9155002927483846,1,0
2014-03-06,0.9971851706504822,0.9284966496421709,1,0
2014-03-07,0.9978038668632507,0.9395236763508342,1,0
2014-03-10,0.9981154203414917,0.9488458328562844,1,0
2014-03-11,0.9977205395698547,0.9566219738978368,1,0
2014-03-12,0.9806272387504578,0.9604412975886728,1,0
2014-03-13,0.9897032380104065,0.9650969772064029,1,0
2014-03-14,0.12567317485809326,0.8315416411314294,1,0
2014-03-17,0.5527862310409546,0.7871906561186139,1,0
2014-03-18,0.7787739038467407,0.7858515206602376,1,0
2014-03-19,0.9234144687652588,0.8077382788320137,1,0
2014-03-20,0.7468847632408142,0.7980562663570399,1,0
2014-03-21,0.9601154923439026,0.8238404701527582,1,0
2014-03-24,0.9289016723632812,0.8405560840422068,1,0
2014-03-25,0.6831138134002686,0.8155064543924795,1,0
2014-03-26,0.9372901320457458,0.8348826740707003,1,0
2014-03-27,0.5169122815132141,0.7842924447716205,1,0
2014-03-28,0.4651106894016266,0.7335094833066426,1,0
2014-03-31,0.8552404642105103,0.7528773187431296,1,0
2014-04-01,0.9233303070068359,0.7799970002066018,1,0
2014-04-02,0.9973970651626587,0.8145861298651857,1,0
2014-04-03,0.996857762336731,0.843586199988966,1,0
2014-04-04,0.9959173798561096,0.8678226367744597,1,0
2014-04-07,0.48553985357284546,0.8070000755802957,1,0
2014-04-08,0.08106990903615952,0.6915019838076556,1,0
2014-04-09,0.40435585379600525,0.6458160051767791,1,0
2014-04-10,0.543262243270874,0.6294993340283325,1,0
2014-04-11,0.00797895435243845,0.5306132136290254,1,0
2014-04-14,0.002536006271839142,0.4465942369156895,0,1
2014-04-15,0.008629626594483852,0.3769124974215757,0,1
2014-04-16,0.11612481623888016,0.3354202424877374,0,1
2014-04-17,0.5888333916664124,0.3757391829439098,0,1
2014-04-21,0.7682130336761475,0.43818317951458735,0,1
2014-04-22,0.7968443632125854,0.4952474595502849,1,0
2014-04-23,0.82692551612854,0.5480186273335665,1,0
2014-04-24,0.8409945964813232,0.5946321542694918,1,0
2014-04-25,0.7718084454536438,0.6228215373289421,1,0
2014-04-28,0.5283613801002502,0.6077925876981594,1,0
2014-04-29,0.6834682822227478,0.6198328619751863,1,0
2014-04-30,0.7972375154495239,0.6480585782936259,1,0
2014-05-01,0.8736879229545593,0.6839570158531356,1,0
2014-05-02,0.7881038188934326,0.7005271455567122,1,0
2014-05-05,0.7948779463768005,0.7155386961908712,1,0
2014-05-06,0.9241958856582642,0.7487368030182182,1,0
2014-05-07,0.6550776958465576,0.7338353033230705,1,0
2014-05-08,0.402248740196228,0.6810786924758894,1,0
2014-05-09,0.5174165964126587,0.6550394663051384,1,0
2014-05-12,0.7052290439605713,0.6630248080270198,1,0
2014-05-13,0.9946449995040894,0.7157867692652712,1,0
2014-05-14,0.9861325025558472,0.758799744552665,1,0
2014-05-15,0.8103264570236206,0.7669978292169851,1,0
2014-05-16,0.427379846572876,0.7129633907340056,1,0
2014-05-19,0.22691524028778076,0.6356313876387093,1,0
2014-05-20,0.620168149471283,0.6331711310144862,1,0
2014-05-21,0.7234362363815308,0.6475326328558841,1,0
2014-05-22,0.7908108234405518,0.6703287065938662,1,0
2014-05-23,0.8589257597923279,0.7003351738303274,1,0
2014-05-27,0.9781627058982849,0.744538530123553,1,0
2014-05-28,0.9945230484008789,0.7843119631125488,1,0
2014-05-29,0.9923256635665894,0.8174076885311267,1,0
2014-05-30,0.9885193705558777,0.8446321705332311,1,0
2014-06-02,0.9889149069786072,0.867588071118694,1,0
2014-06-03,0.9859467148780823,0.8864193556265212,1,0
2014-06-04,0.993259847164154,0.9034180608262137,1,0
2014-06-05,0.9948287606239319,0.9179618308481972,1,0
2014-06-06,0.9917238354682922,0.9296976302013263,1,0
2014-06-09,0.9955739974975586,0.9401787963882198,1,0
2014-06-10,0.9930552840232849,0.9485916351197513,1,0
2014-06-11,0.9922806024551392,0.9555427064366748,1,0
