Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret,forward_ret_1d,forward_rf_1d,forward_excess_ret_1d,forward_ret_5d,forward_rf_5d,forward_excess_ret_5d,forward_ret_10d,forward_rf_10d,forward_excess_ret_10d,forward_ret_20d,forward_rf_20d,forward_excess_ret_20d
2018-08-23,2018-06-07,0.9440473318099976,0.8301184923645559,1,12,0.0060180648408547,8.20850798783912e-05,0.0059359797609763,0.006018064840854764,8.20850798783912e-05,0.005935492545596555,0.015780510884401133,0.0004155471346931616,0.015358581535158011,0.006332763203196645,0.0008339893441597912,0.005494191761652889,0.026319056501588944,0.0016830732149362149,0.024594588793022787
2018-08-24,2018-06-07,0.99485045671463,0.8393641870869986,1,12,0.0078955501292428,8.325110956697301e-05,0.0078122990196758,0.007895550129242812,8.325110956697301e-05,0.0078116486912547245,0.009738843634960581,0.0004163247849418017,0.009318639269529028,0.002051837383368005,0.0008359339984156389,0.0012148878189202073,0.0167902334979948,0.0016881316324626194,0.015076650494920019
2018-08-27,2018-06-07,0.9983311295509338,0.8482863159936765,1,12,0.0004833441435216,8.363971031166706e-05,0.00039970443321,0.0004833441435216912,8.363971031166706e-05,0.00039967100484306073,0.00010345510386611245,0.0004167135151085244,-0.00031312792660342925,-0.00251946397442937,0.0008371005642873186,-0.0033537571067501215,0.007889282158016542,0.0016916332857659366,0.006187182428509352
2018-08-28,2018-06-07,0.997843623161316,0.8566803226519354,1,12,0.005380505359338,8.363971031166706e-05,0.0052968656490264,0.005380505359338095,8.363971031166706e-05,0.005296422657769639,-0.0030702546505325667,0.0004171022073651276,-0.0034859028801117464,-0.0027598021120018856,0.0008382670173114892,-0.0035950555128515527,0.004387958473356157,0.0016943568022835809,0.002689045468591278
2018-08-29,2018-06-07,0.9963136315345764,0.864517338085503,1,12,-0.0040483714513794,8.286247091815468e-05,-0.0041312339222976,-0.004048371451379373,8.286247091815468e-05,-0.004130891626410227,-0.01139023927652738,0.00041710220736534964,-0.011802418669013659,-0.002230302006646201,0.0008390446914803285,-0.0030667735380693895,0.0018045052831825448,0.0016963023661549226,0.00010801968298368436
2018-08-30,2018-06-07,0.9967342615127563,0.8719381037879694,1,12,3.446274417484574e-05,8.286247091815468e-05,-4.839972674330895e-05,3.446274417484574e-05,8.286247091815468e-05,-4.839571655468333e-05,-0.00930097356660109,0.00041826839923153614,-0.00971517841370928,0.001998128590091408,0.0008409889747562627,0.001156167291390009,0.005980292758050787,0.0016994154286764651,0.0042736146826463095
2018-08-31,2018-06-07,0.9936354160308838,0.8787684490823935,1,12,-0.0017222488545973,8.363971031166706e-05,-0.001805888564909,-0.0017222488545972636,8.363971031166706e-05,-0.0018057375335447379,-0.007612865742512631,0.00041943459245730175,-0.008028932722845439,-0.003341113039589838,0.0008429332618091756,-0.004180522400016318,0.009440097998719033,0.001704084126807448,0.007722853479882774
2018-09-04,2018-06-07,0.9922541379928588,0.8851379113732848,1,12,-0.0026915711437095,8.402827315934225e-05,-0.0027755994168688,-0.002691571143709548,8.402827315934225e-05,-0.002775366207639074,-0.0026226477519998292,0.0004202119411835792,-0.003041581584281583,0.003795531700074628,0.0008444884657556884,0.0029485532151380944,0.010592493234298006,0.0017079743443082496,0.00886937023318124
2018-09-05,2018-06-07,0.9553112387657166,0.8890764376045975,1,12,-0.0030100059950326,8.363971031166706e-05,-0.0030936457053443,-0.0030100059950326497,8.363971031166706e-05,-0.0030933869753537735,0.0003114086423632312,0.00042098921441557913,-0.00010953445922645688,0.0075769362528193,0.0008452660686275593,0.006725984937345997,0.013876002740586646,0.001711475381606098,0.012143743640699034
2018-09-06,2018-06-07,0.9455509185791016,0.8922461066652363,1,12,-0.0019435898996079,8.402827315934225e-05,-0.0020276181727673,-0.001943589899607856,8.402827315934225e-05,-0.002027447809828775,0.009265473226946153,0.0004217665643497792,0.008839978255338776,0.018809053820515897,0.0008468212761989502,0.017947034613561508,0.00898879755847748,0.0017149767737936195,0.007261367707719124
2018-09-07,2018-06-07,0.8962487578392029,0.8924707582134707,1,12,0.0017384777435578,8.402827315934225e-05,0.0016544494703985,0.0017384777435578425,8.402827315934225e-05,0.0016543104615471815,0.011405181447861512,0.0004225438387897018,0.010977998923264565,0.019860521319782,0.0008483763339541817,0.01899602920421195,0.00529522652599268,0.0017184778355656682,0.003570612671691231
2018-09-10,2018-06-07,0.949616551399231,0.8956781051333712,1,12,0.0032975900986973,8.441679811777014e-05,0.0032131733005795,0.003297590098697345,8.441679811777014e-05,0.0032129020776734407,0.004304522454454229,0.0004233211138333637,0.003879559041366276,0.01470821724464133,0.0008514858480774823,0.013844942623852274,0.0035505761847611783,0.001721978909573929,0.0018254538821018684
2018-09-11,2018-06-07,0.9751967191696168,0.9001411420007546,1,12,0.0002422824937755,8.480528519427821e-05,0.0001574772085812,0.00024228249377555855,8.480528519427821e-05,0.0001574638548140772,0.006435056338113476,0.0004240983133965148,0.006008409868225595,0.01043503683181557,0.0008538179899573173,0.009573045203644659,-0.001206654835224863,0.0017258684352614573,-0.0029274708409667838
2018-09-12,2018-06-07,0.9797446727752686,0.904608944878438,1,12,0.0059143276868351,8.441679811777014e-05,0.0058299108887174,0.005914327686835197,8.441679811777014e-05,0.005829418787848484,0.007263265766724203,0.0004240983133965148,0.006836268203512574,0.007167541581753367,0.000855372754204442,0.006306774184744457,-0.03306652248186537,0.0017301463031633713,-0.03473656943783132
2018-09-13,2018-06-07,0.9919976592063904,0.9095136965339576,1,12,0.0001723543809397,8.480528519427821e-05,8.754909574548719e-05,0.0001723543809397654,8.480528519427821e-05,8.754167174895855e-05,0.00945596658831116,0.00042487551356340525,0.009027255614882268,0.0040438262436144345,0.0008565390001735729,0.003184559543992993,-0.05992465110945733,0.0017348133173631375,-0.06155268201434261
2018-09-14,2018-06-07,0.9929602742195128,0.9141971930609198,1,12,-0.005294315306651,8.480528519427821e-05,-0.0053791205918453,-0.005294315306651032,8.480528519427821e-05,-0.0053786644526724325,0.008359992638970137,0.000425652638264884,0.00793096416488459,0.003974223159042056,0.0008577051333593655,0.0031138472629008707,-0.04703246381861337,0.0017394798967378389,-0.048687253217152615
2018-09-17,2018-06-07,0.9402158856391908,0.915657510064999,1,12,0.0054259878737814,8.519373439619393e-05,0.0053407941393852,0.005425987873781457,8.519373439619393e-05,0.005340339175947895,0.010359103795292146,0.0004279835597666981,0.00992687169763884,0.012824057664592159,0.0008604255836541785,0.011953347115269741,-0.047341966989223994,0.0017453122960402467,-0.04900175591813272
2018-09-18,2018-06-07,0.9742849469184875,0.9189480152541116,1,12,0.0010653958025177,8.480528519427821e-05,0.0009805905173234,0.0010653958025177435,8.480528519427821e-05,0.0009805073651167895,0.003974404973785095,0.0004295375104268473,0.0035433454635691586,0.006771260998453377,0.0008627572899726488,0.0059034104980377755,-0.03176445381063098,0.0017503670693452822,-0.03345626014395686
2018-09-19,2018-06-07,0.986957848072052,0.9227651138654216,1,12,0.0081040920192867,8.519373439619393e-05,0.0080188982848905,0.008104092019286746,8.519373439619393e-05,0.008018215183196009,-9.503392829290913e-05,0.0004310916155811917,-0.0005258988332964565,0.006251697772274634,0.0008654777539998104,0.005381562395739614,-0.03262278649158212,0.0017561995320356516,-0.034318715511496456
2018-09-20,2018-06-07,0.9983007311820984,0.9270046023043328,1,12,-0.0009135402806738,8.558214573084477e-05,-0.0009991224264046,-0.000913540280673808,8.558214573084477e-05,-0.0009990369266807964,-0.005361442721457443,0.00043148016125504896,-0.005790424429445995,-0.009638956608417515,0.0008674209470811434,-0.010497272001877,-0.054257102392161194,0.0017620314582404983,-0.055920599994048525
2018-09-21,2018-06-07,0.9978935122489928,0.9309832910982222,1,12,-0.003322274323229,8.713541254601331e-05,-0.003409409735775,-0.0033222743232289575,8.713541254601331e-05,-0.003409112681335036,-0.0043494084572417435,0.0004318686690560902,-0.0047792131338825206,-0.014281653705881747,0.0008693639538073228,-0.015137857352169215,-0.05390572941116445,0.001767085821521519,-0.05557461012709375
2018-09-24,2018-06-07,0.981494963169098,0.933818293410797,1,12,-0.0009275374181436,8.6747152605815e-05,-0.0010142845707494,-0.0009275374181435536,8.6747152605815e-05,-0.0010141965920827944,0.002439680960997892,0.00043225702498728147,0.0020065565878295555,-0.010995910814813326,0.0008697524795691081,-0.011855352072521197,-0.055013247426456524,0.0017717498136100573,-0.05668456637016572
2018-09-25,2018-06-07,0.9664597511291504,0.935650317660311,1,12,-0.0029922519273659,8.635885482832784e-05,-0.0030786107821942,-0.002992251927365852,8.635885482832784e-05,-0.003078344939850375,0.002785784190127316,0.0004330337752957991,0.002351732035429821,-0.011521464757934807,0.0008713065081327187,-0.012381982763901789,-0.05895101205682085,0.0017764142834633123,-0.06061974056728059
2018-09-26,2018-06-07,0.9631444811820984,0.9371934464852132,1,12,0.0027944991731854,8.558214573084477e-05,0.0027089170274545,0.0027944991731854163,8.558214573084477e-05,0.0027086852123618943,0.006347334912738978,0.00043419895888829885,0.005910569590688031,-0.03994773699759124,0.0008740259309911735,-0.04078611480661709,-0.08472477801860501,0.001781856192634601,-0.08635276600039066
2018-09-27,2018-06-07,0.9806079864501952,0.939630117380356,1,12,0.0001030196774645,8.597051920578025e-05,1.7049158258730657e-05,0.0001030196774645109,8.597051920578025e-05,1.7047692659755143e-05,-0.00430057115286564,0.00043575276715213107,-0.004734260952707237,-0.0637108417790826,0.0008775226847868023,-0.06453173640128862,-0.07090067337193251,0.001788076162090091,-0.07255900850057784
2018-09-28,2018-06-07,0.9630725979804992,0.9409458427164852,1,12,0.0034738188627376,8.75236346555841e-05,0.003386295228082,0.0034738188627376765,8.75236346555841e-05,0.003385998873153717,-0.009975633352710456,0.00043730642580697143,-0.01040838812350875,-0.05080477745450551,0.0008810191087658126,-0.05164030047177326,-0.08733502951003635,0.0017935186667830116,-0.08896898064926029
2018-10-01,2018-06-07,0.9815951585769652,0.9432273135081736,1,12,-0.0005825967578713,8.75236346555841e-05,-0.0006701203925268,-0.000582596757871312,8.75236346555841e-05,-0.0006700617462873648,-0.013402892992953941,0.0004373064258071935,-0.013834149656220873,-0.05940422149188396,0.0008841259877669927,-0.06023509206937683,-0.09553343267745984,0.0017977938957696171,-0.09715655910433774
2018-10-02,2018-06-07,0.9449723362922668,0.9433252541113168,1,12,0.0005487771952847,8.75236346555841e-05,0.0004612535606292,0.0005487771952847886,8.75236346555841e-05,0.00046121319357417256,-0.014267502764428341,0.00043808302808923116,-0.014699146345976022,-0.03827653440451495,0.0008868446476879566,-0.03912867799355324,-0.08159571495984175,0.0018016806733411883,-0.0832474103827906
2018-10-03,2018-06-07,0.957575023174286,0.9441250321941032,1,12,-0.0078158152380181,8.713541254601331e-05,-0.0079029506505641,-0.007815815238018109,8.713541254601331e-05,-0.007902262083697376,-0.0460030749863759,0.00043963608257335807,-0.04642230214988807,-0.038632962657276115,0.0008899515447720052,-0.03948777199835862,-0.0722952643919269,0.0018059559371590428,-0.07396763803402073
2018-10-04,2018-06-07,0.7146934270858765,0.9312480256648616,0,12,-0.0055971411125179,8.75236346555841e-05,-0.0056846647471735,-0.005597141112517856,8.75236346555841e-05,-0.0056841672481958705,-0.0596668722558219,0.0004415774990176313,-0.06008191893134163,-0.045052403950527564,0.0008938351798009059,-0.0459052074409817,-0.05503703679178684,0.0018098431264517156,-0.05674418185074981
2018-10-05,2018-06-07,0.4496490657329559,0.904217953026902,0,12,0.0,8.75236346555841e-05,-8.75236346555841e-05,0.0,8.75236346555841e-05,-8.751597493938945e-05,-0.04124054465453475,0.0004435187293687637,-0.04166558391706621,-0.0401981720785175,0.0008969420985851517,-0.04105828727075367,-0.055346820757696924,0.0018137299507714477,-0.05705706460149751
2018-10-08,2018-06-07,0.4840741455554962,0.8806370930600391,0,12,-0.001458441666079,8.829996541415142e-05,-0.0015467416314931,-0.0014584416660790023,8.829996541415142e-05,-0.0015466050663193176,-0.046626255208146894,0.0004466242503053941,-0.0470518649545415,-0.044506728630321346,0.0009012135013635181,-0.04536705672764474,-0.050135314610184056,0.0018187821042776608,-0.05185977508360784
