Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag,equity_buy_and_hold,bh_ret
2006-05-08,1,0.0,-0.0012071987125877,-0.001207198712587565,-0.0013959121590248,bull,2005-12-01,12,0.49,0.67,0.52,0.9919706583023071,0.7802984775714726,1,1.2817304288698308,1,1,0,1.0109638306215465,-0.0012071986120339995
2006-05-09,1,0.0,0.0019641419009126,0.0019641419009126526,0.0017750500035973002,bull,2005-12-01,12,0.49,0.67,0.52,0.9838709831237793,0.7917241243647056,1,1.2842479293108489,1,1,0,1.012949928427495,0.0019645587169299095
2006-05-10,1,0.0,-0.0005278604530727,-0.0005278604530727371,-0.0007169523503880001,bull,2005-12-01,12,0.49,0.67,0.52,0.984271228313446,0.802530962914978,1,1.283570025617025,1,1,0,1.0124148952451477,-0.0005281931192570033
2006-05-11,1,0.0,-0.0120709212215623,-0.012070921221562392,-0.0122577418742796,bull,2005-12-01,12,0.49,0.67,0.52,0.9760316014289856,0.8122688055017417,0,1.2680761529554432,1,1,0,1.0001941168365136,-0.012070919211115472
2006-05-12,1,0.0,-0.0130585665121866,-0.01305856651218662,-0.013246522949022,bull,2005-12-01,12,0.49,0.67,0.52,0.6121425628662109,0.8010365825833924,0,1.2515168961695569,1,1,0,0.987133354879861,-0.013058227134910672
2006-05-15,1,0.0,0.0020121571564859,0.0020121571564859497,0.0018238221968732,bull,2005-12-01,12,0.49,0.67,0.52,0.021113617345690727,0.7572628701040948,0,1.2540351448486475,1,1,0,0.9891191154445976,0.002011643669945995
2006-05-16,1,0.0,-0.0014670271769533,-0.0014670271769532395,-0.0016542264603479,bull,2005-12-01,12,0.49,0.67,0.52,0.03617873042821884,0.7167915271504566,0,1.2521954412103,1,1,0,0.9876679665106934,-0.00146711241471853
2006-05-17,1,0.0,-0.0190242531634245,-0.019024253163424598,-0.0192114524468191,bull,2005-12-01,12,0.49,0.67,0.52,0.022966112941503525,0.6778500988990704,0,1.2283733581266292,1,1,0,0.9688783194704488,-0.019024254787391892
2006-05-18,1,0.0,-0.0050453300892853,-0.005045330089285205,-0.0052325293726799005,hold,2005-12-01,12,0.49,0.67,0.52,0.00211044168099761,0.6399237461894692,0,1.2221758090619965,1,1,0,0.9639900081069951,-0.005045330528322123
2006-05-19,1,0.0,0.0070520520892596,0.0070520520892596306,0.0068652314365423,hold,2005-12-01,12,0.49,0.67,0.52,0.0027052254881709814,0.6041594187431544,0,1.2307946565297347,1,1,0,0.9707882007625551,0.007052140165757281
2006-05-22,1,0.0,-0.0076324852900269,-0.0076324852900269136,-0.0078196845734215,hold,2005-12-01,12,0.49,0.67,0.52,0.0038242547307163477,0.5704651950416081,0,1.2214006344187278,1,1,0,0.9633790956520178,-0.007632051053687472
2006-05-23,1,0.0,-0.0076107616773973,-0.00761076167739716,-0.0077983395554957,hold,2005-12-01,12,0.49,0.67,0.52,0.004008530173450708,0.5386724253898472,0,1.2121048452775451,1,1,0,0.9560467972274431,-0.007611020892675846
2006-05-24,1,0.0,0.0079894225713776,0.007989422571377691,0.007802601918660299,hold,2005-12-01,12,0.49,0.67,0.52,0.003180596511811018,0.5086175784407304,0,1.2217888630872817,1,1,0,0.9636844675692036,0.007988803857624793
2006-05-25,0,0.0005,0.0001868206527173,-0.00031317934728269936,-0.0005,bear,2005-12-01,12,0.49,0.67,0.52,0.003651412669569254,0.48027600531433406,0,1.2214062240486228,0,0,1,0.9755999583709549,0.012364514737699395
2006-05-26,0,0.0,0.0001875778780984,0.00018757787809842164,0.0,bear,2005-12-01,12,0.49,0.67,0.52,0.017678730189800262,0.4543124152963939,0,1.221635332836426,0,0,1,0.9805647391791595,0.0050889514350684895
2006-05-30,0,0.0,0.0001875778780984,0.00018757787809842164,0.0,bear,2005-12-01,12,0.49,0.67,0.52,0.11196517199277878,0.435097940964451,0,1.2218644845999695,0,0,1,0.9631502774898858,-0.01775962462595948
2006-05-31,0,0.0,0.0001883349596127,0.00018833495961279034,0.0,bear,2005-12-01,12,0.49,0.67,0.52,0.0045386189594864845,0.41093250308561835,0,1.222094604398329,0,0,1,0.9739194854131014,0.011181233266403412
2006-06-02,0,0.0,0.0001864419860597,0.00018644198605977103,0.0,hold,2006-06-01,12,0.49,0.67,0.52,0.5134938359260559,0.5134938359260559,0,1.2223224541435258,0,0,1,0.9759625892246466,0.002097815930521829
2006-06-05,0,0.0,0.0001879564368354,0.00018795643683544583,0.0,hold,2006-06-01,12,0.49,0.67,0.52,0.43134021759033203,0.5088829076312776,0,1.2225521975166707,0,0,1,0.9617393631603378,-0.014573536138929755
2006-06-06,0,0.0,0.0001883349596127,0.00018833495961279034,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.014024030417203903,0.48110861302207236,0,1.2227824468354145,0,0,1,0.959393363884886,-0.002439329578590499
2006-06-07,0,0.0,0.0001883349596127,0.00018833495961279034,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.012208419851958752,0.4547912673967131,0,1.2230127395181545,0,0,1,0.9522066324436376,-0.007490912186579157
2006-06-08,0,0.0,0.0001887134464371,0.00018871344643711652,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.003989126533269882,0.42948968739618837,0,1.2232435384672655,0,0,1,0.9513743588860712,-0.0008740472174936231
2006-06-09,0,0.0,0.0001890918973153,0.00018909189731530773,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.005526561755686998,0.4056944655719977,0,1.223474843908833,0,0,1,0.9483480766084185,-0.003180958420191282
2006-06-12,0,0.0,0.0001909836127538,0.00019098361275382558,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.0040108016692101955,0.38314969385091807,0,1.2237085075546361,0,0,1,0.9380589005892463,-0.010849577568575186
2006-06-13,0,0.0,0.0001894703122542,0.00018947031225424737,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.004740585573017597,0.3619112225613135,0,1.2239403639876707,0,0,1,0.9271645182213202,-0.011613750864772787
2006-06-14,0,0.0,0.0001898486912605,0.00018984869126059678,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.0032700966112315655,0.34178224286675385,0,1.2241727274639547,0,0,1,0.9343513331738628,0.007751391270159669
2006-06-15,0,0.0,0.0001879564368354,0.00018795643683544583,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.00478672981262207,0.32286813807340536,0,1.22440281860788,0,0,1,0.9541735739549118,0.021214975649165746
2006-06-16,0,0.0,0.0001890918973153,0.00018909189731530773,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.05576438456773758,0.30787675632260025,0,1.2246343432599287,0,0,1,0.9472203400921256,-0.007287179243464004
2006-06-19,0,0.0,0.0001909836127538,0.00019098361275382558,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.008662884123623371,0.29108317209026074,0,1.224868228351107,0,0,1,0.9397733874582848,-0.007861901100135404
2006-06-20,0,0.0,0.0001906053415035,0.0001906053415035025,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.004566393326967955,0.2750022209539438,0,1.2251016947780686,0,0,1,0.942964604541897,0.0033957304241645225
2006-06-21,0,0.0,0.0001906053415035,0.0001906053415035025,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.007294613867998123,0.25997694750590594,0,1.2253352057049782,0,0,1,0.9499561700887011,0.007414451733531058
2006-06-22,0,0.0,0.0001906053415035,0.0001906053415035025,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.06559430062770844,0.24906708784711545,0,1.2255687611403179,0,0,1,0.9457764298161553,-0.00439992960112634
2006-06-23,0,0.0,0.0001928744305643,0.00019287443056437148,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.01056376751512289,0.23568092506578417,0,1.2258051420172402,0,0,1,0.9456247733059666,-0.00016035133188729844
2006-06-26,0,0.0,0.0001947643516004,0.00019476435160048489,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.01647580787539482,0.22337788719978363,0,1.2260438851609137,0,0,1,0.9498041795333358,0.004419730050808424
2006-06-27,0,0.0,0.0001955200691088,0.00019552006910883435,0.0,bear,2006-06-01,12,0.49,0.67,0.52,0.0891084223985672,0.2158419212019542,0,1.2262836013460707,0,0,1,0.9415971906113743,-0.00864071679069034
