Date,rebalance_date,split,selected_smoothing_halflife,selected_threshold,selected_drawdown_threshold,selected_drawdown_prob_floor,predicted_probability_raw,predicted_probability_smoothed,predicted_label,y_true,drawdown_from_peak,drawdown_entry_trigger,signal_zone
2000-08-30,2000-05-26,oos,0,0.55,0.2,0.52,0.33428603410720825,0.33428603410720825,0,1,-0.016281929316119825,0,bear
2000-08-31,2000-05-26,oos,0,0.55,0.2,0.52,0.8856030106544495,0.8856030106544495,1,1,-0.006402725751685101,0,bull
2000-09-01,2000-05-26,oos,0,0.55,0.2,0.52,0.918612003326416,0.918612003326416,1,0,-0.004379781845243236,0,bull
2000-09-05,2000-05-26,oos,0,0.55,0.2,0.52,0.354777455329895,0.354777455329895,0,0,-0.013342415123146045,0,bear
2000-09-06,2000-05-26,oos,0,0.55,0.2,0.52,0.006220455281436443,0.006220455281436443,0,0,-0.023051315149294926,0,bear
2000-09-07,2000-05-26,oos,0,0.55,0.2,0.52,0.12887884676456451,0.12887884676456451,0,0,-0.01633427507753571,0,bear
2000-09-08,2000-05-26,oos,0,0.55,0.2,0.52,0.042188163846731186,0.042188163846731186,0,0,-0.021578281447894976,0,bear
2000-09-11,2000-05-26,oos,0,0.55,0.2,0.52,0.009605568833649158,0.009605568833649158,0,0,-0.025008806874668776,0,bear
2000-09-12,2000-05-26,oos,0,0.55,0.2,0.52,0.004382209852337837,0.004382209852337837,0,0,-0.029768355221054144,0,bear
2000-09-13,2000-05-26,oos,0,0.55,0.2,0.52,0.008586126379668713,0.008586126379668713,0,0,-0.027856656047270056,0,bear
2000-09-14,2000-05-26,oos,0,0.55,0.2,0.52,0.0048010507598519325,0.0048010507598519325,0,0,-0.03050159546684106,0,bear
2000-09-15,2000-05-26,oos,0,0.55,0.2,0.52,0.005332103930413723,0.005332103930413723,0,0,-0.040361059484604445,0,bear
2000-09-18,2000-05-26,oos,0,0.55,0.2,0.52,0.012559885159134865,0.012559885159134865,0,0,-0.05430581049140126,0,bear
2000-09-19,2000-05-26,oos,0,0.55,0.2,0.52,0.0034434846602380276,0.0034434846602380276,0,0,-0.04423025038376238,0,bear
2000-09-20,2000-05-26,oos,0,0.55,0.2,0.52,0.005482273641973734,0.005482273641973734,0,0,-0.04983436362578553,0,bear
2000-09-21,2000-05-26,oos,0,0.55,0.2,0.52,0.002389113185927272,0.002389113185927272,0,0,-0.05133353024929688,0,bear
2000-09-22,2000-05-26,oos,0,0.55,0.2,0.52,0.0016822096658870578,0.0016822096658870578,0,0,-0.05154962633917237,0,bear
2000-09-25,2000-05-26,oos,0,0.55,0.2,0.52,0.002104749670252204,0.002104749670252204,0,0,-0.05789345311961558,0,bear
2000-09-26,2000-05-26,oos,0,0.55,0.2,0.52,0.0027202439960092306,0.0027202439960092306,0,0,-0.06563183491793145,0,bear
2000-09-27,2000-05-26,oos,0,0.55,0.2,0.52,0.0022980866488069296,0.0022980866488069296,0,0,-0.06605084076083723,0,bear
2000-09-28,2000-05-26,oos,0,0.55,0.2,0.52,0.019461803138256073,0.019461803138256073,0,0,-0.04528427824225645,0,bear
2000-09-29,2000-05-26,oos,0,0.55,0.2,0.52,0.0016267045866698027,0.0016267045866698027,0,0,-0.05954326365193441,0,bear
2000-10-02,2000-05-26,oos,0,0.55,0.2,0.52,0.0023294950369745493,0.0023294950369745493,0,0,-0.05972659369267941,0,bear
2000-10-03,2000-05-26,oos,0,0.55,0.2,0.52,0.007169160060584545,0.007169160060584545,0,0,-0.06612284615173147,0,bear
2000-10-04,2000-05-26,oos,0,0.55,0.2,0.52,0.0069726514630019665,0.0069726514630019665,0,0,-0.06097705801157072,0,bear
2000-10-05,2000-05-26,oos,0,0.55,0.2,0.52,0.007421460468322039,0.007421460468322039,0,0,-0.05969382764354891,0,bear
2000-10-06,2000-05-26,oos,0,0.55,0.2,0.52,0.0011596234980970621,0.0011596234980970621,0,0,-0.07756011531091944,0,bear
2000-10-09,2000-05-26,oos,0,0.55,0.2,0.52,0.0011589752975851297,0.0011589752975851297,0,0,-0.08211667398708156,0,bear
