rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,bull_state_by_train_cum_excess,better_state_by_cagr_train,better_state_by_sortino_train,better_state_by_cum_excess_train,state0_minus_state1_cagr_train,state0_minus_state1_sortino_train,better_state_by_cagr_validation,better_state_by_sortino_validation,better_state_by_cum_excess_validation,state0_minus_state1_cagr_validation,state0_minus_state1_sortino_validation,better_state_by_cagr_oos,better_state_by_sortino_oos,better_state_by_cum_excess_oos,state0_minus_state1_cagr_oos,state0_minus_state1_sortino_oos
2006-06-01,1991-06-03,2002-05-31,2002-06-03,2006-05-31,2006-06-01,2006-11-30,0,0,0,0,1.3082283258622471,15.892643840113506,0,0,0,1.485130236548281,16.828178521004602,0,0,0,0.934851931429875,17.39608480286549
2006-12-01,1991-12-02,2002-11-29,2002-12-02,2006-11-30,2006-12-01,2007-05-31,0,0,0,0,1.3319517550118727,14.865322241308128,0,0,0,1.1533860738535748,15.073686004507174,0,0,0,0.6485613656429398,8.770221795187979
2007-06-01,1992-06-01,2003-05-30,2003-06-02,2007-05-31,2007-06-01,2007-11-30,0,0,0,0,1.3869196995134563,14.830080740214376,0,0,0,0.9678185840803402,13.627754761874932,0,0,0,1.4511548549027864,16.939719084192742
2007-12-03,1992-12-03,2003-12-02,2003-12-03,2007-11-30,2007-12-03,2008-06-02,0,0,0,0,1.3947324790682547,14.802297486355737,0,0,0,0.9347398768663169,13.18647128823713,0,0,0,2.3299935694976766,28.85083535358637
2008-06-03,1993-06-03,2004-06-02,2004-06-03,2008-06-02,2008-06-03,2008-12-02,0,0,0,0,1.4049610451857184,14.832920162865996,0,0,0,0.9962589279594786,14.05496391583231,0,0,0,31.478000069367752,inf
2008-12-03,1993-12-03,2004-12-02,2004-12-03,2008-12-02,2008-12-03,2009-06-02,0,0,0,0,1.4807761925441072,15.635380713967157,0,0,0,1.1537632457070361,14.61896817163056,0,0,0,11.709379571293297,26.20997747879919
2009-06-03,1994-06-03,2005-06-02,2005-06-03,2009-06-02,2009-06-03,2009-12-02,0,0,0,0,1.51401906118915,15.961433176633422,0,0,0,1.5222481669778531,15.902952641416793,0,0,0,2.0942913934416003,19.292032618532218
2009-12-03,1994-12-05,2005-12-02,2005-12-05,2009-12-02,2009-12-03,2010-06-02,0,0,0,0,1.5180426017470987,16.0080027398487,0,0,0,1.7019284767649518,16.652397170700677,0,0,0,1.4836004626837784,16.017418225818954
2010-06-03,1995-06-05,2006-06-02,2006-06-05,2010-06-02,2010-06-03,2010-12-02,0,0,0,0,1.4669489270860638,15.050914243904467,0,0,0,1.7752500161126399,16.237418915165414,0,0,0,1.4222071068301474,15.094914272787765
2010-12-03,1995-12-04,2006-12-01,2006-12-04,2010-12-02,2010-12-03,2011-06-02,0,0,0,0,1.4824007104057901,15.075777818841239,0,0,0,1.8973878472611692,16.36459390880161,0,0,0,1.197113462067245,14.49606345240335
2011-06-03,1996-06-03,2007-06-01,2007-06-04,2011-06-02,2011-06-03,2011-12-02,0,0,0,0,1.4567806849545581,14.831042306663498,0,0,0,2.0215931930550557,16.795967589632827,0,0,0,5.1056027215421,21.451682469322563
2011-12-05,1996-12-05,2007-12-04,2007-12-05,2011-12-02,2011-12-05,2012-06-04,0,0,0,0,1.4649088543535116,14.494157813877543,0,0,0,2.2932449900320524,17.630159685198226,0,0,0,1.7096157220482113,23.954057899888834
2012-06-05,1997-06-05,2008-06-04,2008-06-05,2012-06-04,2012-06-05,2012-12-04,0,0,0,0,1.4607222291950324,14.253125178139157,0,0,0,2.0636490339062163,15.815305155618848,0,0,0,1.190049730822564,15.75309870285782
