rebalance_date,split,raw_state,n_obs,annualized_cagr,cum_excess_return_sum,ann_volatility,downside_dev_daily,downside_dev_annualized,sortino
2001-05-29,validation,0,374,1.8957153366411625,1.5250552750181363,0.14776710295212864,0.0038703951808461037,0.061440618744369915,17.51733087319117
2001-05-29,validation,1,634,-0.3711338540579663,-1.229409773329327,0.2272395890148613,0.01095340937252373,0.173879983247891,-2.5165218463207877
2001-11-29,oos,0,21,1.8225834099841034,0.08610769690622422,0.1539924588521289,0.0036185513061026253,0.057442721173653045,18.296517552452293
2001-11-29,oos,1,102,-0.284451311002309,-0.13606411383434525,0.17750590574084235,0.008359024815912006,0.13269540519552384,-2.40321817258114
2001-11-29,train,0,926,0.897635407489433,2.197630196558002,0.10247572880165255,0.002843436742550377,0.045138158937191336,14.325826710230269
2001-11-29,train,1,1075,-0.27589338389204143,-1.5474339190144653,0.13480200627594727,0.006850484900712772,0.10874807644493399,-2.8828005512474077
2001-11-29,validation,0,318,2.0903290526680895,1.3813629358785602,0.1482270436586149,0.003633415245165967,0.05767867889123957,19.79339283810854
2001-11-29,validation,1,686,-0.3698804417413494,-1.3196289593081856,0.22108992010028433,0.010696039028662481,0.16979435569969076,-2.5735411814046976
2002-05-29,oos,0,20,28.86811026714369,0.271672655570577,0.1962083164889403,0.0024971967695095127,0.039641769761496325,86.72028942614601
2002-05-29,oos,1,109,-0.60754325762471,-0.3889719694639735,0.32025611491957023,0.015019728078283624,0.23843079152971527,-3.703596305340155
2002-05-29,train,0,935,1.0261225121230795,2.4610947415033007,0.10340150996876274,0.002759605486822957,0.04380737900869726,16.262684957524527
2002-05-29,train,1,1189,-0.2729984287374919,-1.692106073351072,0.133722407988524,0.006778809591620533,0.10761026618692349,-2.8776066762729853
2002-05-29,validation,0,261,2.412981319285885,1.2417504140203044,0.1568656655552035,0.00379607308218227,0.06026079200448446,20.622355977457186
2002-05-29,validation,1,743,-0.3549472550048547,-1.3487652449867429,0.21879409921504336,0.010537323514929794,0.16727482502842347,-2.4755664424886645
2002-11-29,oos,0,44,3.880397569255307,0.27817785103082066,0.17224507161730862,0.0033281142245699573,0.05283217543817207,30.371199196104676
2002-11-29,oos,1,79,-0.5659193384404297,-0.25788995698812367,0.2120160041674706,0.010831765083055838,0.17194894001783184,-4.716263448407922
2002-11-29,train,0,1072,0.9723757256544465,2.710620348435414,0.10613023965125011,0.0028905849030273685,0.04588661278156904,14.944430555770166
2002-11-29,train,1,1180,-0.30311644567566054,-1.8673589006305615,0.15003393765057482,0.0076033348557993366,0.12069919897916517,-2.8963266451031844
2002-11-29,validation,0,244,2.894963047877421,1.2937563996763761,0.1679537315457064,0.003994245176160946,0.06340667646924743,21.721123963083595
2002-11-29,validation,1,761,-0.4025565756827263,-1.592343324188835,0.22965985193724728,0.010975163127762174,0.17422531340654715,-2.802405487958125
2003-05-29,oos,0,73,1.4891772962057064,0.26397215565319126,0.12024111941987341,0.003443620507580317,0.05466578083643721,16.842473372835848
2003-05-29,oos,1,56,-0.5125852640461265,-0.15961389618155325,0.13345999439223533,0.007447919041080845,0.11823204940585545,-5.9955156222054455
2003-05-29,train,0,1123,1.062062432542584,3.0419086440848813,0.11223710914836037,0.003092571327654421,0.04909304786821468,14.890175625686876
2003-05-29,train,1,1254,-0.3226823832502844,-2.1228555246876066,0.15191519495653116,0.00774920420893055,0.12301480317291148,-3.0706504424649466
2003-05-29,validation,0,222,3.3077778586997884,1.271887971876836,0.16563677574382246,0.0033385600771787412,0.05299799820758133,27.890740599497185
2003-05-29,validation,1,781,-0.4029155633828325,-1.62597867393902,0.22993476604637986,0.010969089697647871,0.1741289006924217,-2.8070480603334618
2003-12-01,oos,0,70,0.5902910259538714,0.12767110828724942,0.09563471780343973,0.0032204780160967443,0.05112350360005592,9.170826991346244
2003-12-01,oos,1,55,-0.2793469827230719,-0.07166552340176999,0.13384454300230306,0.006612251380559317,0.10496623655522078,-3.0351131527630875
2003-12-01,train,0,1197,1.070450524928189,3.262690279588642,0.11383942361383641,0.003108660325671792,0.04934845279380373,14.89922360205405
