rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2013-10-30,1998-10-30,2009-10-29,2009-10-30,2013-10-29,2013-10-30,2014-04-29,cfg_003,12,0.6,-0.5901076520594073,0.7886178861788617,0.7317073170731707,0.8505747126436781,0.8036366499849095,0.7314629258517034,0.7178645936271604,0.7862838915470495
2014-04-30,1999-04-30,2010-04-29,2010-04-30,2014-04-29,2014-04-30,2014-10-29,cfg_001,4,0.6,-0.5754597087912737,0.7637795275590551,0.735721570627231,0.6666666666666666,0.4414366334342048,0.8006012024048096,0.7915892971294634,0.8406725380304243
2014-10-30,1999-11-01,2010-10-29,2010-11-01,2014-10-29,2014-10-30,2015-04-29,cfg_002,8,0.6,0.3264591738978101,0.7642276422764228,0.5162037037037037,0.863849765258216,0.16665533951727654,0.7214428857715431,0.7177759824872303,0.7698675496688742
2015-04-30,2000-05-01,2011-04-29,2011-05-02,2015-04-29,2015-04-30,2015-10-29,cfg_003,12,0.6,-1.5586447200188778,0.6614173228346457,0.6085714285714285,0.45569620253164556,0.12359090401385915,0.7141424272818455,0.694626923574292,0.7721822541966427
2015-10-30,2000-10-30,2011-10-28,2011-10-31,2015-10-29,2015-10-30,2016-04-29,cfg_002,8,0.6,-0.16346456177308666,0.7903225806451613,0.7932291666666667,0.7758620689655172,0.24977565199179544,0.7474949899799599,0.7286746778126089,0.8012618296529969
2016-05-02,2001-05-02,2012-05-01,2012-05-02,2016-04-29,2016-05-02,2016-11-01,cfg_002,8,0.6,-0.08717318721441839,0.75,0.6245614035087719,0.84,0.11182863060205707,0.7492477432296891,0.7395034427514743,0.7937293729372937
2016-11-02,2001-11-02,2012-11-01,2012-11-02,2016-11-01,2016-11-02,2017-05-01,cfg_003,12,0.6,0.6206672178315759,0.680327868852459,0.5296296296296297,0.7958115183246073,0.3998384164004002,0.7377377377377378,0.7162350277977745,0.7943485086342229
2017-05-02,2002-05-02,2013-05-01,2013-05-02,2017-05-01,2017-05-02,2017-11-01,cfg_003,12,0.6,0.16734357170283662,0.734375,0.6993197278911565,0.8152173913043478,0.23692168280292125,0.7277277277277278,0.7046994511905276,0.7864992150706437
2017-11-02,2002-11-04,2013-11-01,2013-11-04,2017-11-01,2017-11-02,2018-05-01,cfg_002,8,0.6,-1.6201182575477542,0.7295081967213115,0.7202380952380952,0.7843137254901961,-0.12054512455106227,0.7557557557557557,0.7505732620320855,0.7980132450331126
2018-05-02,2003-05-02,2014-05-01,2014-05-02,2018-05-01,2018-05-02,2018-11-01,cfg_003,12,0.6,0.8089931319747364,0.828125,0.7713450292397661,0.8817204301075269,0.011065306817665925,0.7087087087087087,0.6984770053475935,0.7604938271604939
2018-11-02,2003-11-03,2014-10-31,2014-11-03,2018-11-01,2018-11-02,2019-05-01,cfg_003,12,0.6,0.6024014387433902,0.7272727272727273,0.735014005602241,0.7441860465116279,0.20137611760671414,0.73,0.7019521264234255,0.7945205479452054
2019-05-02,2004-05-03,2015-05-01,2015-05-04,2019-05-01,2019-05-02,2019-11-01,cfg_002,8,0.6,-1.5957278324564077,0.65625,0.6493150684931507,0.6,0.07854645080599099,0.7715430861723447,0.7646255604308632,0.8152350081037277
2019-11-04,2004-11-04,2015-11-03,2015-11-04,2019-11-01,2019-11-04,2020-05-01,cfg_002,8,0.6,-0.5876565396442162,0.8699186991869918,0.8590195016251354,0.8918918918918919,-0.08528115583046006,0.7605210420841684,0.7449720670391062,0.8107680126682502
