Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,equity_predicted_strategy
2004-03-24,0.0,0.0,3.7128050038637284e-05,3.7128050038637284e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9229385137791745
2004-03-25,0.0,0.0,3.752117521416132e-05,3.752117521416132e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9229731435168619
2004-03-26,0.0,0.0,3.79142616035999e-05,3.79142616035999e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9230081373620783
2004-03-29,1.0,0.0005,0.003375000762953384,0.002875000762953384,0.002837086501349784,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9256617864612066
2004-03-30,1.0,0.0,0.0011508205540140537,0.0011508205540140537,0.0011132993787998924,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9267270570711315
2004-03-31,1.0,0.0,0.00601240659508484,0.00601240659508484,0.005975671709015584,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9322989169409095
2004-04-01,1.0,0.0,0.007558898781059531,0.007558898781059531,0.00752137760584537,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9393460700877573
2004-04-02,1.0,0.0,0.005495538608941253,0.005495538608941253,0.0054584105589026155,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9445082826830817
2004-04-05,1.0,0.0,-0.0032102848349041535,-0.0032102848349041535,-0.003247412884942791,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9414761420667429
2004-04-06,1.0,0.0,-0.0023495034393760106,-0.0023495034393760106,-0.002387024614590172,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9392641406328667
2004-04-07,1.0,0.0,-0.00226820899416158,-0.00226820899416158,-0.0023049438802308364,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9371336932611898
2004-04-08,1.0,0.0,0.003934651733750405,0.003934651733750405,0.0038975236837117677,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9408209879721359
2004-04-12,1.0,0.0,-0.014021948890196256,-0.014021948890196256,-0.014059076940234894,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9276288441639666
2004-04-13,0.0,0.0005,3.752117521416132e-05,-0.0004624788247858387,-0.0005,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9271998354662803
2004-04-14,0.0,0.0,3.752117521416132e-05,3.752117521416132e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9272346250937653
2004-04-15,0.0,0.0,3.7128050038637284e-05,3.7128050038637284e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9272690515073233
2004-04-16,1.0,0.0005,0.0,-0.0005,-0.0005379142616035999,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9268054169815697
2004-04-19,1.0,0.0,-0.016779317974520258,-0.016779317974520258,-0.016817625283734983,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9112542541895281
2004-04-20,0.0,0.0005,3.90932881320083e-05,-0.0004609067118679917,-0.0005,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9108342509875539
2004-04-21,0.0,0.0,3.830730921472458e-05,3.830730921472458e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.9108691425968498
2004-04-22,1.0,0.0005,0.0009627917673082909,0.00046279176730829085,0.000424091449253428,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9112906853371389
2004-04-23,1.0,0.0,-0.0013990318447250072,-0.0013990318447250072,-0.0014381251328570155,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9100157606485509
2004-04-26,1.0,0.0,0.0008759584117330466,0.0008759584117330466,0.0008372580936781837,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.9108128966089006
2004-04-27,1.0,0.0,-0.012948609688615553,-0.012948609688615553,-0.012986916997830278,2003-12-01,1,1.0,1.0,0,,0.5,bull,1,0,0,0.8990191359113546
2004-04-28,0.0,0.0005,3.830730921472458e-05,-0.00046169269078527543,-0.0005,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8986040653474283
2004-04-29,0.0,0.0,3.870031805486285e-05,3.870031805486285e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8986388416105626
2004-04-30,0.0,0.0,3.948621945371045e-05,3.948621945371045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8986743254610721
2004-05-03,0.0,0.0,3.948621945371045e-05,3.948621945371045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8987098107127046
2004-05-04,0.0,0.0,3.90932881320083e-05,3.90932881320083e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8987449442342819
2004-05-05,0.0,0.0,3.948621945371045e-05,3.948621945371045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8987804322743828
2004-05-06,0.0,0.0,4.223565419558817e-05,4.223565419558817e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8988183928539181
2004-05-07,0.0,0.0,4.262827574930128e-05,4.262827574930128e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8988567079322172
2004-05-10,0.0,0.0,4.145029499813546e-05,4.145029499813546e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.898893965807922
2004-05-11,0.0,0.0,4.105755733907479e-05,4.105755733907479e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8989308721984649
2004-05-12,0.0,0.0,3.948621945371045e-05,3.948621945371045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8989663675801582
2004-05-13,0.0,0.0,3.90932881320083e-05,3.90932881320083e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.899001511131387
2004-05-14,0.0,0.0,4.184299394793811e-05,4.184299394793811e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8990391280461765
2004-05-17,0.0,0.0,4.145029499813546e-05,4.145029499813546e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8990763934832489
2004-05-18,0.0,0.0,4.105755733907479e-05,4.105755733907479e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8991133073638266
2004-05-19,0.0,0.0,4.066478096254045e-05,4.066478096254045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.899149869609531
2004-05-20,0.0,0.0,4.066478096254045e-05,4.066478096254045e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8991864333420312
2004-05-21,0.0,0.0,4.223565419558817e-05,4.223565419558817e-05,0.0,2003-12-01,0,0.0,0.0,0,,0.5,bear,0,0,0,0.8992244110692872
