Date,gspc_predicted_label,gspc_predicted_bull_flag,gspc_predicted_bear_flag,gspc_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2008-12-01,0,0,1,0.07563653662912877,0,0,1,0.016085196104427595,0,0,1,0.014495288897900995
2008-12-02,0,0,1,0.06446248575827428,0,0,1,0.01360933803251538,0,0,1,0.013354036134589095
2008-12-03,0,0,1,0.05515418156113228,0,0,1,0.011910367054183134,0,0,1,0.01255762020306518
2008-12-04,0,0,1,0.08223478969679071,0,0,1,0.012091821166640232,0,0,1,0.012047029902328315
2008-12-05,0,0,1,0.06965469750807202,0,0,1,0.010371629083607411,0,0,1,0.011432160883439292
2008-12-08,0,0,1,0.09637305222194445,0,0,1,0.025704986908844506,0,0,1,0.022724817872070535
2008-12-09,0,0,1,0.17326406875962055,0,0,1,0.03809958296610498,0,0,1,0.026959625970448035
2008-12-10,0,0,1,0.20303769975890526,0,0,1,0.044072301934634794,0,0,1,0.029291952168004405
2008-12-11,0,0,1,0.2639739832086482,0,0,1,0.0664310699626674,0,0,1,0.03941234865098285
2008-12-12,0,0,1,0.2617424195341331,0,0,1,0.05783771134392149,0,0,1,0.03713288263549282
2008-12-15,0,0,1,0.3146779852216671,0,0,1,0.076928766943698,0,0,1,0.04562492686053531
2008-12-16,0,0,1,0.30410059911523385,0,0,1,0.06765707196393789,0,0,1,0.04385990635527034
2008-12-17,0,0,1,0.36477932440338684,0,0,1,0.09317369271852645,0,0,1,0.07033576732289201
2008-12-18,0,0,1,0.4348537262847125,0,0,1,0.12221176990244398,0,0,1,0.08840699098059622
2008-12-19,0,0,1,0.4703146498342994,0,0,1,0.1388860342338447,0,0,1,0.1134821539869025
2008-12-22,0,0,1,0.490060410180591,0,0,1,0.15122028438727547,0,0,1,0.1246369011588304
2008-12-23,0,0,1,0.4448988117222159,0,0,1,0.14218416090269753,0,0,1,0.13143831438144443
2008-12-24,0,0,1,0.37741547360594985,0,0,1,0.12479905990553439,0,0,1,0.1272318941062781
2008-12-26,0,0,1,0.326874295889127,0,0,1,0.1163685558464225,0,0,1,0.12310038428185431
2008-12-29,0,0,1,0.2977352395837775,0,0,1,0.12956201165768147,0,0,1,0.153188775657279
2008-12-30,0,0,1,0.2625368952619847,0,0,1,0.11669791186836279,0,0,1,0.16032947895003408
2008-12-31,0,0,1,0.33399464045942445,0,0,1,0.17828111154232812,0,0,1,0.17814480983863812
2009-01-02,0,0,1,0.35399971006399245,0,0,1,0.1914737487538281,0,0,1,0.2253947888444448
2009-01-05,0,0,1,0.4533416244734606,0,0,1,0.26243561872683896,0,0,1,0.2644369256055721
2009-01-06,0,0,1,0.5292486160567339,0,0,1,0.3238569004409456,0,0,1,0.2854565847998982
2009-01-07,0,0,1,0.5995846167160982,0,0,1,0.38956723685495737,0,0,1,0.3358498828885441
2009-01-08,0,0,1,0.5325807085969076,0,0,1,0.34425158364602604,0,0,1,0.33305007044853774
2009-01-09,0,0,1,0.5460236875428545,0,0,1,0.3419199578175309,0,0,1,0.3400774971573838
2009-01-12,0,0,1,0.47265034475218926,0,0,1,0.32764831209885587,0,0,1,0.34018048696936937
2009-01-13,0,0,1,0.3987696965848438,0,0,1,0.27702568973289105,0,0,1,0.31269358869461333
2009-01-14,0,0,1,0.3383160029948023,0,0,1,0.24328121160024954,0,0,1,0.2952061175245525
2009-01-15,0,0,1,0.2855314576368492,0,0,1,0.20494024824770052,0,0,1,0.27096424834020866
2009-01-16,0,0,1,0.2403524937608923,0,0,1,0.17293155912594174,0,0,1,0.24889003475302401
2009-01-20,0,0,1,0.2025197066947967,0,0,1,0.1508398931047546,0,0,1,0.22876544240738186
2009-01-21,0,0,1,0.17052359191989466,0,0,1,0.126994036825878,0,0,1,0.20988436148643994
2009-01-22,0,0,1,0.14391128963586458,0,0,1,0.10878329707446897,0,0,1,0.19297315363416417
2009-01-23,0,0,1,0.12145548916850012,0,0,1,0.09185890277030513,0,0,1,0.17720407014269532
2009-01-26,0,0,1,0.10274195155417948,0,0,1,0.07752349236613584,0,0,1,0.16265057739377117
2009-01-27,0,0,1,0.08724127684430416,0,0,1,0.06598485001417065,0,0,1,0.14950964697917973
2009-01-28,0,0,1,0.0755861916922666,0,0,1,0.0613102031890448,0,0,1,0.13744147501825477
2009-01-29,0,0,1,0.11822510599359468,0,0,1,0.07505341967555337,0,0,1,0.17222151604303643
2009-01-30,0,0,1,0.10864428281699792,0,0,1,0.06890951751221812,0,0,1,0.15856747655220113
2009-02-02,0,0,1,0.09217910580302119,0,0,1,0.058140654532773194,0,0,1,0.14567935988392774
2009-02-03,0,0,1,0.07834221625079434,0,0,1,0.04919302082573037,0,0,1,0.1343645984878081
2009-02-04,0,0,1,0.06827747115461642,0,0,1,0.0421788831186103,0,0,1,0.12449949207517381
2009-02-05,0,0,1,0.05844581043711585,0,0,1,0.03659621923004408,0,0,1,0.11463540394882384
2009-02-06,0,0,1,0.06678981344964625,0,0,1,0.03949940571577874,0,0,1,0.11111563222647215
2009-02-09,0,0,1,0.08197156686203935,0,0,1,0.06343397045417087,0,0,1,0.1502611309158082
2009-02-10,0,0,1,0.09717885118940137,0,0,1,0.07839952285710067,0,0,1,0.1975112806117949
2009-02-11,0,0,1,0.0827541109815096,0,0,1,0.06762222780150529,0,0,1,0.1814636978839588
2009-02-12,0,0,1,0.08631933183815857,0,0,1,0.06799835639667445,0,0,1,0.16793384372990838
2009-02-13,0,0,1,0.08246371314699288,0,0,1,0.0651647338004967,0,0,1,0.15556186942259137
2009-02-17,0,0,1,0.07047715687266361,0,0,1,0.0562546890094448,0,0,1,0.14452971538673326
2009-02-18,0,0,1,0.05957762046523495,0,0,1,0.047544683899777944,0,0,1,0.13259789979834474
2009-02-19,0,0,1,0.05039783990666671,0,0,1,0.04015762243112356,0,0,1,0.12168396429716721
2009-02-20,0,0,1,0.043761864977871164,0,0,1,0.03413590911847552,0,0,1,0.11172296701996462
2009-02-23,0,0,1,0.03728776050142986,0,0,1,0.028992427525670165,0,0,1,0.10253121533172045
2009-02-24,0,0,1,0.031620311544403326,0,0,1,0.02463708868244611,0,0,1,0.09407166088089014
2009-02-25,0,0,1,0.027023054139361007,0,0,1,0.02100150513049014,0,0,1,0.08637463550150028
2009-02-26,0,0,1,0.02298198054505429,0,0,1,0.017808712188237305,0,0,1,0.07938233702271678
2009-02-27,0,0,1,0.019576335719583518,0,0,1,0.01514318721635605,0,0,1,0.07296770777376911
2009-03-02,0,0,1,0.016691447065514682,0,0,1,0.0128751747917557,0,0,1,0.06701008450323
2009-03-03,0,0,1,0.014365640326820228,0,0,1,0.010946362066050607,0,0,1,0.06152045026889424
2009-03-04,0,0,1,0.012350550970182722,0,0,1,0.009292617253429843,0,0,1,0.05650362521880865
2009-03-05,0,0,1,0.010575613351501896,0,0,1,0.007954912674995804,0,0,1,0.05188980166162082
2009-03-06,0,0,1,0.009172500790144133,0,0,1,0.0068192380579103415,0,0,1,0.04767169113966912
2009-03-09,0,0,1,0.008010117677494084,0,0,1,0.00585005799136154,0,0,1,0.04382957388481999
2009-03-10,0,0,1,0.0070079572233897785,0,0,1,0.005066374676057783,0,0,1,0.04027796844868617
2009-03-11,0,0,1,0.006958400873389618,0,0,1,0.004482186945454632,0,0,1,0.03706807849436105
2009-03-12,0,0,1,0.008044962526864829,0,0,1,0.00405482678239662,0,0,1,0.03417293475243116
2009-03-13,0,0,1,0.013176932332610244,0,0,1,0.021508484813518587,0,0,1,0.03302879156465384
2009-03-16,0,0,1,0.05258580307732051,0,0,1,0.04718595501854933,0,0,1,0.03754949599244997
2009-03-17,0,0,1,0.06071363619930621,0,0,1,0.04923938716690938,0,0,1,0.03549460547532261
2009-03-18,0,0,1,0.18859471525923285,0,0,1,0.06923724605526352,0,0,1,0.056105809096010754
2009-03-19,0,0,1,0.3087041960287402,0,0,1,0.09820939464214762,0,0,1,0.08364309560554874
2009-03-20,0,0,1,0.40998544429829675,0,0,1,0.11883784030810834,0,0,1,0.10056368756639829
2009-03-23,0,0,1,0.46797675128447325,0,0,1,0.12189374662013522,0,0,1,0.1020475683059315
2009-03-24,0,0,1,0.5513881756677068,0,0,1,0.19737891703782012,0,0,1,0.17045937811727302
2009-03-25,1,1,0,0.6218075709309132,0,0,1,0.1910031960880668,0,0,1,0.19488566217286474
2009-03-26,1,1,0,0.680129034021691,0,0,1,0.18082244385323298,0,0,1,0.2175945598049806
2009-03-27,1,1,0,0.7291833491408944,0,0,1,0.25501025459527127,0,0,1,0.2704458059085667
2009-03-30,1,1,0,0.7710441653443598,0,0,1,0.25535684479263765,0,0,1,0.3029474851901631
2009-03-31,1,1,0,0.7016032390242198,0,0,1,0.24478440742340885,0,0,1,0.29697294455305295
2009-04-01,1,1,0,0.6434037311885478,0,0,1,0.22614757971182498,0,0,1,0.2964118683536759
2009-04-02,1,1,0,0.6729294241389997,0,0,1,0.20745327443954292,0,0,1,0.2990303061724236
2009-04-03,1,1,0,0.7242053419024196,0,0,1,0.30326596650187104,0,0,1,0.34701580637185814
2009-04-06,1,1,0,0.7666059207858948,0,0,1,0.3950671771957179,0,0,1,0.3959235748293529
2009-04-07,1,1,0,0.8024593090899272,0,0,1,0.4657456959798455,0,0,1,0.4378978433913721
2009-04-08,1,1,0,0.7956705644131952,0,0,1,0.4133041634514999,0,0,1,0.4393020869987903
2009-04-09,1,1,0,0.8207168473441122,0,0,1,0.4617739412874687,0,0,1,0.42097184571020546
2009-04-13,1,1,0,0.8474122887887854,0,0,1,0.5357887957718841,0,0,1,0.46378475864159224
2009-04-14,1,1,0,0.8705972526795446,0,0,1,0.5900409843013131,0,0,1,0.5013461115811646
2009-04-15,1,1,0,0.8883632037597803,1,1,0,0.6152424415536205,0,0,1,0.5264603983829107
2009-04-16,1,1,0,0.9047373345742387,1,1,0,0.6526524187629322,0,0,1,0.5564476490702572
2009-04-17,1,1,0,0.9193620660959776,1,1,0,0.7024136684587834,0,0,1,0.58952763754886
2009-04-20,1,1,0,0.9314176612517279,1,1,0,0.7423224274005695,1,1,0,0.6192533893155101
2009-04-21,1,1,0,0.8754776171263317,1,1,0,0.6753185161403117,0,0,1,0.5949429964527613
2009-04-22,1,1,0,0.8876321126060797,1,1,0,0.7007325743581945,1,1,0,0.6216591031270217
2009-04-23,1,1,0,0.8782478466903841,1,1,0,0.72368924885159,1,1,0,0.6455351200139473
2009-04-24,1,1,0,0.8791347087781303,1,1,0,0.7352143486378779,1,1,0,0.6115856353179211
2009-04-27,1,1,0,0.8929517919214511,1,1,0,0.7673443720475243,1,1,0,0.6411553664248011
2009-04-29,1,1,0,0.9661211967468262,1,1,0,0.9956717491149902,1,1,0,0.981747031211853
2009-04-30,1,1,0,0.9681735373375686,1,1,0,0.9950494541388123,1,1,0,0.9816645984017127
2009-05-01,1,1,0,0.969045522611957,1,1,0,0.9941144030887947,1,1,0,0.9809128242637992
2009-05-04,1,1,0,0.9719057366813395,1,1,0,0.9943637187209023,1,1,0,0.9812570999899144
2009-05-05,1,1,0,0.9750448983216643,1,1,0,0.9939911488452948,1,1,0,0.9805020430212025
2009-05-06,1,1,0,0.9759827991867029,1,1,0,0.9942971070052817,1,1,0,0.9803770153063117
2009-05-07,1,1,0,0.9767194132755216,1,1,0,0.9943522682826953,1,1,0,0.9812521762026546
2009-05-08,1,1,0,0.9785690521559236,1,1,0,0.994671184642106,1,1,0,0.9816245482634863
2009-05-11,1,1,0,0.9786609325683073,1,1,0,0.9938917671668499,1,1,0,0.981274142491705
2009-05-12,1,1,0,0.9784796888581512,1,1,0,0.9935663581195606,1,1,0,0.9783023119144624
2009-05-13,1,1,0,0.9788491863004449,1,1,0,0.9924243927786008,1,1,0,0.9764837680485068
2009-05-14,1,1,0,0.9620507001383483,1,1,0,0.8990423325785776,1,1,0,0.9275759358667957
2009-05-15,1,1,0,0.9645877290532225,1,1,0,0.850893445094601,1,1,0,0.8831188331739981
2009-05-18,1,1,0,0.8998671578907572,1,1,0,0.7805222379156276,1,1,0,0.8510342331197754
2009-05-19,1,1,0,0.9125628983279869,1,1,0,0.8119054386480484,1,1,0,0.8544748799524314
2009-05-20,1,1,0,0.9245522914858515,1,1,0,0.8380541377860915,1,1,0,0.8566630355720202
2009-05-21,1,1,0,0.9277095186318319,1,1,0,0.8278228261056106,1,1,0,0.843410067749131
2009-05-22,1,1,0,0.8858092847407733,1,1,0,0.7863887028734441,1,1,0,0.8210095834193671
2009-05-26,1,1,0,0.8498576035625364,1,1,0,0.7133256431095967,1,1,0,0.7932894689662116
2009-05-27,1,1,0,0.8721854981443047,1,1,0,0.7569469524681418,1,1,0,0.8039359108695392
2009-05-28,1,1,0,0.8669640668594385,1,1,0,0.7829135093534185,1,1,0,0.8084980290558192
2009-05-29,1,1,0,0.8859370799892374,1,1,0,0.8015171034357986,1,1,0,0.8140065484222776
2009-06-01,1,1,0,0.9031763222310835,1,1,0,0.8311286469315332,1,1,0,0.8217482987042447
2009-06-02,1,1,0,0.9179556833502062,1,1,0,0.8557855553879063,1,1,0,0.8309133488642414
2009-06-03,1,1,0,0.9301748484569363,1,1,0,0.8764633201092138,1,1,0,0.8397664114412587
2009-06-04,1,1,0,0.9403061525394106,1,1,0,0.8918513089169782,1,1,0,0.8477598265534627
2009-06-05,1,1,0,0.9493017533356187,1,1,0,0.9062542602355482,1,1,0,0.8555706916737911
2009-06-08,1,1,0,0.9560522639064695,1,1,0,0.9190631480139102,1,1,0,0.8631986377452053
2009-06-09,1,1,0,0.9622565188456127,1,1,0,0.9307383202081101,1,1,0,0.8707720020663745
2009-06-10,1,1,0,0.9673422348365367,1,1,0,0.940998042689486,1,1,0,0.8779512974474416
2009-06-11,1,1,0,0.9715663524633414,1,1,0,0.9495566051122877,1,1,0,0.8846258040549886
2009-06-12,1,1,0,0.975260675973039,1,1,0,0.9570694440675752,1,1,0,0.890914502499686
2009-06-15,1,1,0,0.9781876623273916,1,1,0,0.9628472680904698,1,1,0,0.8968534281966131
2009-06-16,1,1,0,0.9428763418880891,1,1,0,0.9533594168038485,1,1,0,0.8921898518106155
