rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2021-05-04,2006-05-04,2017-05-03,2017-05-04,2021-05-03,2021-05-04,2021-11-03,cfg_001,0,0.5,-2.0806835972948465,0.765625,0.7643748470760949,0.75,0.8208692352194564,0.908817635270541,0.8952910532679041,0.931008339651251
2021-11-04,2006-11-06,2017-11-03,2017-11-06,2021-11-03,2021-11-04,2022-05-03,cfg_000,0,0.45,-1.5229712803813737,0.9105691056910569,0.909168956043956,0.8405797101449275,0.5401181159568568,0.8957915831663327,0.8815369516982421,0.9181102362204724
2022-05-04,2007-05-04,2018-05-03,2018-05-04,2022-05-03,2022-05-04,2022-11-03,cfg_006,4,0.45,-0.3015606717222321,0.8346456692913385,0.7708074534161491,0.676923076923077,0.4744583616816633,0.8118118118118118,0.7992127116068568,0.8438538205980066
2022-11-04,2007-11-05,2018-11-02,2018-11-05,2022-11-03,2022-11-04,2023-05-03,cfg_005,2,0.55,0.8227259828586286,0.9180327868852459,0.9177927927927928,0.8979591836734694,0.3617674864902138,0.8498498498498499,0.8505976736147397,0.8543689320388349
2023-05-04,2008-05-05,2019-05-03,2019-05-06,2023-05-03,2023-05-04,2023-11-03,cfg_005,2,0.55,-0.09309448330393921,0.8661417322834646,0.8542553191489362,0.8172043010752689,0.3190281245462627,0.8548548548548549,0.8548617234468938,0.8539778449144008
2023-11-06,2008-11-06,2019-11-05,2019-11-06,2023-11-03,2023-11-06,2024-05-03,cfg_005,2,0.55,1.6951396412361432,0.8780487804878049,0.8061469780219781,0.9206349206349206,0.3391823711753312,0.8597194388777555,0.8590914758991315,0.8523206751054853
2024-05-06,2009-05-06,2020-05-05,2020-05-06,2024-05-03,2024-05-06,2024-11-05,cfg_005,2,0.55,-1.5510897339096694,0.7874015748031497,0.7827067669172932,0.8111888111888111,0.7419935630917308,0.8627254509018036,0.8627728578026789,0.8628628628628628
2024-11-06,2009-11-06,2020-11-05,2020-11-06,2024-11-05,2024-11-06,2025-05-05,cfg_008,4,0.55,-1.9817453958947868,0.859504132231405,0.8461890243902439,0.7951807228915663,0.4977819835979903,0.8264794383149449,0.826486921529175,0.8264794383149449
2025-05-06,2010-05-06,2021-05-05,2021-05-06,2025-05-05,2025-05-06,2025-11-05,cfg_005,2,0.55,0.03526776742275925,0.8110236220472441,0.7154654654654655,0.8762886597938144,-0.276445169579471,0.8473895582329317,0.8438478581065192,0.8203309692671394
2025-11-06,2010-11-08,2021-11-05,2021-11-08,2025-11-05,2025-11-06,2026-04-13,cfg_003,2,0.45,1.0648428115589255,0.8867924528301887,0.8805555555555555,0.9130434782608695,0.0360052210904965,0.8512562814070351,0.8552522172949002,0.8455114822546973
