Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger
2015-08-10,2015-06-05,0.77878737449646,0.49451502929454705,0,0,1,12,,0.5,bear,0,0,0
2015-08-11,2015-06-05,0.3653947412967682,0.487268064383934,0,0,1,12,,0.5,bear,0,0,0
2015-08-12,2015-06-05,0.3062782883644104,0.4771098888072519,0,0,1,12,,0.5,bear,0,0,0
2015-08-13,2015-06-05,0.3935401737689972,0.4724194811117349,0,0,1,12,,0.5,bear,0,0,0
2015-08-14,2015-06-05,0.4977858066558838,0.4738431835676401,0,0,1,12,,0.5,bear,1,0,0
2015-08-17,2015-06-05,0.7439073920249939,0.48900072288738344,0,0,1,12,,0.5,bear,1,0,0
2015-08-18,2015-06-05,0.5463570952415466,0.49221988870784555,0,0,1,12,,0.5,bear,0,0,0
2015-08-19,2015-06-05,0.18959404528141022,0.4752348052452547,0,0,1,12,,0.5,bear,0,0,0
2015-08-20,2015-06-05,0.005128865130245686,0.44884978624388117,0,0,1,12,,0.5,bear,0,0,0
2015-08-21,2015-06-05,0.0010264696320518851,0.42371539480187864,0,0,1,12,,0.5,bear,0,0,0
2015-08-24,2015-06-05,0.0011556062381714582,0.39999893623566235,0,0,1,12,,0.5,bear,0,0,0
2015-08-25,2015-06-05,0.0013976768823340535,0.37762716658851425,0,0,1,12,,0.5,bear,0,0,0
2015-08-26,2015-06-05,0.0015418916009366512,0.35651912203954217,0,0,1,12,,0.5,bear,0,0,0
2015-08-27,2015-06-05,0.008783587254583836,0.3370022261447375,0,0,1,12,,0.5,bear,0,0,0
2015-08-28,2015-06-05,0.006805146113038063,0.31846968807746057,0,0,1,12,,0.5,bear,0,0,0
2015-08-31,2015-06-05,0.00490095280110836,0.30087042728854324,0,0,1,12,,0.5,bear,0,0,0
2015-09-01,2015-06-05,0.003643893403932452,0.2841883837850316,0,0,1,12,,0.5,bear,0,0,0
2015-09-02,2015-06-05,0.0022292963694781065,0.2683632362081912,0,0,1,12,,0.5,bear,0,0,0
2015-09-03,2015-06-05,0.0030925236642360687,0.2534747351412448,0,0,1,12,,0.5,bear,0,0,0
2015-09-04,2015-06-05,0.0029914064798504114,0.23941618615834678,0,0,1,12,,0.5,bear,0,0,0
2015-09-08,2015-06-05,0.010385246016085148,0.22656166722570445,0,0,1,12,,0.5,bear,0,0,0
2015-09-09,2015-06-05,0.0032810752745717764,0.2140298905376088,0,0,1,12,,0.5,bear,0,0,0
2015-09-10,2015-06-05,0.005175299476832151,0.20230778306473887,0,0,1,12,,0.5,bear,0,0,0
2015-09-11,2015-06-05,0.01324077695608139,0.191696267397676,0,0,1,12,,0.5,bear,0,0,0
2015-09-14,2015-06-05,0.009291006252169609,0.18145864674540926,0,0,1,12,,0.5,bear,0,0,0
2015-09-15,2015-06-05,0.03160706162452698,0.17304812353476204,0,0,1,12,,0.5,bear,0,0,0
2015-09-16,2015-06-05,0.098704993724823,0.16887556427678513,0,0,1,12,,0.5,bear,0,0,0
2015-09-17,2015-06-05,0.10729219764471054,0.1654191554971847,0,0,1,12,,0.5,bear,0,0,0
2015-09-18,2015-06-05,0.010193734429776669,0.1567070220505029,0,0,1,12,,0.5,bear,0,0,0
2015-09-21,2015-06-05,0.07594674825668335,0.1521742961758102,0,0,1,12,,0.5,bear,0,0,0
2015-09-22,2015-06-05,0.0037342829164117575,0.14384299840608794,0,0,1,12,,0.5,bear,0,0,0
2015-09-23,2015-06-05,0.0035606592427939177,0.13596955570192829,0,0,1,12,,0.5,bear,0,0,0
2015-09-24,2015-06-05,0.002591933123767376,0.12848364496184733,0,0,1,12,,0.5,bear,0,0,0
