Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,rebalance_date,predicted_label,predicted_probability_raw,predicted_probability_smoothed,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,signal_zone,y_true,rising_entry_trigger,drawdown_entry_trigger,mapped_spy_next_ret,mapped_spy_next_rf_daily,mapped_spy_return_date,equity_predicted_strategy,equity_full_upper_bound_oracle
2010-11-15,0.0,0.0005,5.947938814809817e-06,-0.0004940520611851902,-0.0005,2010-06-03,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.015579407995059191,5.947938814809817e-06,2010-11-16,35.93972327011487,35.93972327011487
2010-11-16,0.0,0.0,5.551685702931408e-06,5.551685702931408e-06,0.0,2010-06-03,0,0.0,0.0,0,,0.5,bear,0,0,0,0.0005082618499709923,5.551685702931408e-06,2010-11-17,35.93992279616271,35.93992279616271
2010-11-17,1.0,0.0005,0.01471790490926761,0.014217904909267609,0.0142119569704528,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.01471790490926761,5.947938814809817e-06,2010-11-18,36.45091320092497,36.45091320092497
2010-11-18,1.0,0.0,0.0027511479457902333,0.0027511479457902333,0.002745596260087302,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0027511479457902333,5.551685702931408e-06,2010-11-19,36.551195055899875,36.551195055899875
2010-11-19,1.0,0.0,-0.0008315458579573054,-0.0008315458579573054,-0.0008374937967721152,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.0008315458579573054,5.947938814809817e-06,2010-11-22,36.52080106104775,36.52080106104775
2010-11-22,0.0,0.0005,5.947938814809817e-06,-0.0004940520611851902,-0.0005,2010-06-03,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.014477008319702445,5.947938814809817e-06,2010-11-23,36.50275788400741,36.50275788400741
2010-11-23,1.0,0.0005,0.014774201997125536,0.014274201997125535,0.014267857844605769,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.014774201997125536,6.344152519766055e-06,2010-11-24,37.023805623495896,37.023805623495896
2010-11-24,1.0,0.0,-0.01164751647442841,-0.01164751647442841,-0.011653860626948176,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,-0.01164751647442841,6.344152519766055e-06,2010-11-26,36.59257023755019,36.59257023755019
2010-11-26,1.0,0.0,0.0030307733159937733,0.0030307733159937733,0.003023636854253997,2010-06-03,1,1.0,1.0,0,,0.5,bull,1,0,0,0.0030307733159937733,7.136461739776223e-06,2010-11-29,36.70347402298979,36.70347402298979
2010-11-29,0.0,0.0005,6.740326825349641e-06,-0.0004932596731746504,-0.0005,2010-06-03,0,0.0,0.0,0,,0.5,bear,0,0,0,-0.005622924727387235,6.740326825349641e-06,2010-11-30,36.685369679388835,36.685369679388835
