Date,rebalance_date,predicted_probability_raw,predicted_probability_smoothed,y_true,selected_smoothing_halflife,next_ret,next_rf_daily,next_excess_ret
2016-06-02,2015-12-07,0.9989884495735168,0.7952729681406498,1,12,-0.0029870919274602725,1.1887011045930151e-05,-0.0029989789385062027
2016-06-03,2015-12-07,0.9980416297912598,0.8066534986424034,1,12,0.005088265268297754,1.1095646087921907e-05,0.005077169622209832
2016-06-07,2016-06-07,0.9982378482818604,0.9982378482818604,1,12,0.003260206567706314,9.512444448356305e-06,0.003250694123257958
2016-06-08,2016-06-07,0.9985148310661316,0.998253394131003,1,12,-0.00136606337627454,1.0304123909676832e-05,-0.0013763675001842168
2016-06-09,2016-06-07,0.9984927177429199,0.9982668263332134,1,12,-0.009477119339856288,1.0304123909676832e-05,-0.009487423463765965
2016-06-10,2016-06-07,0.8239652514457703,0.9884840306419924,0,12,-0.007711928413004054,1.0699904655186998e-05,-0.007722628317659241
2016-06-13,2016-06-07,0.6184677481651306,0.9677166124690139,0,12,-0.001967134185933306,1.0699904655186998e-05,-0.001977834090588493
2016-06-14,2016-06-07,0.6597692966461182,0.9504328577106262,0,12,-0.001393633109055381,1.0304123909676832e-05,-0.001403937232965058
2016-06-15,2016-06-07,0.684522271156311,0.9355084432750512,1,12,0.0029842875359311627,1.0699904655186998e-05,0.0029735876312759757
2016-06-16,2016-06-07,0.7595844864845276,0.9256345902844271,0,12,-0.003724000734370736,1.0699904655186998e-05,-0.003734700639025923
2016-06-17,2016-06-07,0.5452322959899902,0.904284250059691,1,12,0.0064398132467136104,1.1095646087921907e-05,0.0064287176006256885
2016-06-20,2016-06-07,0.8361135125160217,0.9004581205600568,1,12,0.00283856270953331,1.0699904655186998e-05,0.002827862804878123
2016-06-21,2016-06-07,0.7176254987716675,0.8901965139979755,1,12,-0.0016313188532748324,1.0699904655186998e-05,-0.0016420187579300194
2016-06-22,2016-06-07,0.727266788482666,0.8810519711688458,1,12,0.01302293553956857,1.2282634586968655e-05,0.013010652904981601
2016-06-23,2016-06-07,0.9964805245399475,0.8875304780629567,0,12,-0.03590922297330512,1.0699904655186998e-05,-0.03591992287796031
2016-06-24,2016-06-07,0.0017881214153021574,0.8378175795091706,0,12,-0.017909822666170916,1.0699904655186998e-05,-0.017920522570826103
2016-06-27,2016-06-07,0.0013316002441570163,0.790869228990795,0,12,0.01803600899916158,1.0304123909676832e-05,0.018025704875251902
2016-06-28,2016-06-07,0.0036052041687071323,0.746683494496679,0,12,0.01702745897473501,1.0304123909676832e-05,0.017017154850825333
2016-06-29,2016-06-07,0.1305515170097351,0.7121026637814369,1,12,0.01364582246312307,1.0304123909676832e-05,0.013635518339213393
2016-06-30,2016-06-07,0.806721031665802,0.7174131847118833,1,12,0.0021001805662290707,1.1095646087921907e-05,0.0020890849201411488
2016-07-01,2016-06-07,0.6150399446487427,0.7116674162503376,1,12,-0.007193212818306649,1.1095646087921907e-05,-0.007204308464394571
2016-07-05,2016-06-07,0.7275294661521912,0.7125576847033565,1,12,0.005997852771965517,1.0699904655186998e-05,0.00598715286731033
