Date,position,fee,strategy_ret_gross,strategy_ret,strategy_excess_ret,signal_zone,rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,predicted_probability_raw,predicted_probability_smoothed,y_true,equity_predicted_strategy,predicted_label,predicted_bull_flag,predicted_bear_flag
2016-08-03,1,0.0,0.0029226731264604,0.0029226731264604,0.002911577480372478,bull,2016-06-07,12,0.47,0.65,0.9833248853683472,0.8891243244254936,1,2.0808367385266133,1,1,0
2016-08-04,1,0.0,0.0010638706726013,0.0010638706726013,0.001053566548691623,bull,2016-06-07,12,0.47,0.65,0.9752116799354553,0.8939560364229057,1,2.0830504797072034,1,1,0
2016-08-05,1,0.0,0.0081793500987896,0.0081793500987896,0.008168254452701678,bull,2016-06-07,12,0.47,0.65,0.9491705298423767,0.8970549878160056,1,2.1000884788541803,1,1,0
2016-08-08,1,0.0,-0.0005960123677068,-0.0005960123677068,-0.0006082950022937687,bull,2016-06-07,12,0.47,0.65,0.9982625842094421,0.9027353337254209,1,2.0988368001475046,1,1,0
2016-08-09,1,0.0,0.0005963678102975,0.0005963678102975,0.0005848764620818469,bull,2016-06-07,12,0.47,0.65,0.9960222840309143,0.9079711279291455,1,2.1000884788541807,1,1,0
2016-08-10,1,0.0,-0.0024755232018984,-0.0024755232018984,-0.002486618847986322,bull,2016-06-07,12,0.47,0.65,0.9932010769844055,0.9127547173999763,1,2.0948896610987378,1,1,0
2016-08-11,1,0.0,0.0046409439938357,0.0046409439938357,0.004629848347747778,bull,2016-06-07,12,0.47,0.65,0.9808624982833862,0.9165773134137822,1,2.1046119266891625,1,1,0
2016-08-12,1,0.0,-0.0008688078847746,-0.0008688078847746,-0.0008802992329902531,bull,2016-06-07,12,0.47,0.65,0.9904853701591492,0.9207254538969764,1,2.1027834232528644,1,1,0
2016-08-15,1,0.0,0.0028838228334975,0.0028838228334975,0.0028715401989105314,bull,2016-06-07,12,0.47,0.65,0.9920341372489929,0.9247277027618718,1,2.108847478102741,1,1,0
2016-08-16,1,0.0,-0.0051580130819506,-0.0051580130819506,-0.005168712986605787,bull,2016-06-07,12,0.47,0.65,0.9905044436454773,0.9284194675535223,1,2.0979700152228484,1,1,0
2016-08-17,1,0.0,0.0018809988295607,0.0018809988295607,0.0018691118185147698,bull,2016-06-07,12,0.47,0.65,0.9306809306144714,0.9285463937221631,1,2.101916294365936,1,1,0
2016-08-18,1,0.0,0.0022438622708436,0.0022438622708436,0.0022319752597976697,bull,2016-06-07,12,0.47,0.65,0.881672739982605,0.9259155776889101,1,2.1066327050353353,1,1,0
2016-08-19,1,0.0,-0.0014619720719902,-0.0014619720719902,-0.0014738590830361302,bull,2016-06-07,12,0.47,0.65,0.9845696091651917,0.929207575519506,1,2.1035528668546326,1,1,0
2016-08-22,1,0.0,-4.57024192032085e-05,-4.57024192032085e-05,-5.719376741886162e-05,bull,2016-06-07,12,0.47,0.65,0.9524412155151367,0.9305115795331669,1,2.1034567293996953,1,1,0
2016-08-23,1,0.0,0.0020136147106706,0.0020136147106706,0.00200172769962467,bull,2016-06-07,12,0.47,0.65,0.9270243644714355,0.9303158571910004,1,2.1076922808132736,1,1,0
2016-08-24,1,0.0,-0.0051149826659647,-0.0051149826659647,-0.005127265300551668,bull,2016-06-07,12,0.47,0.65,0.9760783910751343,0.9328843108586747,1,2.096911471331726,1,1,0
2016-08-25,1,0.0,-0.0006888557670203,-0.0006888557670203,-0.0007019295308520502,bull,2016-06-07,12,0.47,0.65,0.8621266484260559,0.9289129884216073,1,2.0954670017717683,1,1,0
2016-08-26,1,0.0,-0.0018828352983236,-0.0018828352983236,-0.0018963045678746363,bull,2016-06-07,12,0.47,0.65,0.7427543997764587,0.9184647096836924,1,2.09152158253436,1,1,0
2016-08-29,1,0.0,0.0049240449841767,0.0049240449841767,0.00491097122034495,bull,2016-06-07,12,0.47,0.65,0.5450330972671509,0.8975056037704305,1,2.1018203288921358,1,1,0
2016-08-30,1,0.0,-0.0016485252788879,-0.0016485252788879,-0.0016615990427196502,bull,2016-06-07,12,0.47,0.65,0.926558256149292,0.8991362038536139,1,2.0983554249482768,1,1,0
2016-08-31,1,0.0,-0.0028440927232745,-0.0028440927232745,-0.0028571664871062503,bull,2016-06-07,12,0.47,0.65,0.6097097992897034,0.8828919479693982,1,2.092387507553338,1,1,0
2016-09-01,1,0.0,4.5946295602394827e-05,4.5946295602394827e-05,3.287253177064464e-05,bull,2016-06-07,12,0.47,0.65,0.6217289566993713,0.8682339955822631,1,2.092483645008275,1,1,0
2016-09-02,1,0.0,0.004507872441519,0.004507872441519,0.00449479867768725,bull,2016-06-07,12,0.47,0.65,0.6516363620758057,0.8560773045301946,1,2.101916294365937,1,1,0
2016-09-06,1,0.0,0.0030224720057234,0.0030224720057234,0.003009793786877304,bull,2016-06-07,12,0.47,0.65,0.6180817484855652,0.8427196403684872,1,2.108269277524032,1,1,0
