Date,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bull_flag,predicted_bear_flag,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold
2008-01-14,0.002538626082241535,0.06277114247783093,0,0,1,4,0.48,0.65
2008-01-15,0.009926117956638336,0.05436330964050383,0,0,1,4,0.48,0.65
2008-01-16,0.0018539601005613804,0.046008883896003265,0,0,1,4,0.48,0.65
2008-01-17,0.0012990005780011415,0.03889538118652098,0,0,1,4,0.48,0.65
2008-01-18,0.0005677202716469765,0.03279731294002443,0,0,1,4,0.48,0.65
2008-01-22,0.0008984001469798386,0.027722081565141887,0,0,1,4,0.48,0.65
2008-01-23,0.0008471268811263144,0.023446179935021034,0,0,1,4,0.48,0.65
2008-01-24,0.0007881874334998429,0.019841212104874554,0,0,1,4,0.48,0.65
2008-01-25,0.0011907252483069897,0.016873852788731172,0,0,1,4,0.48,0.65
2008-01-28,0.0009684745455160737,0.014343250093490073,0,0,1,4,0.48,0.65
2008-01-29,0.006629920098930597,0.013116031641024614,0,0,1,4,0.48,0.65
2008-01-30,0.010456950403749943,0.012692962284042627,0,0,1,4,0.48,0.65
2008-01-31,0.005654525011777878,0.011573121683013438,0,0,1,4,0.48,0.65
2008-02-01,0.013934616930782795,0.01194884404229486,0,0,1,4,0.48,0.65
2008-02-04,0.26227712631225586,0.051776971114825675,0,0,1,4,0.48,0.65
2008-02-05,0.01907177083194256,0.04657345650997374,0,0,1,4,0.48,0.65
2008-02-06,0.0017281181644648314,0.03943840242004322,0,0,1,4,0.48,0.65
2008-02-07,0.0009025197359733284,0.03330720534364539,0,0,1,4,0.48,0.65
2008-02-08,0.0010779219446703792,0.028179410821064513,0,0,1,4,0.48,0.65
2008-02-11,0.0007273014634847641,0.023811681813426525,0,0,1,4,0.48,0.65
2008-02-12,0.0008475209469906986,0.020158001498886222,0,0,1,4,0.48,0.65
2008-02-13,0.017874963581562042,0.019794761982128255,0,0,1,4,0.48,0.65
2008-02-14,0.022960206493735313,0.020298395551240394,0,0,1,4,0.48,0.65
2008-02-15,0.01355934888124466,0.019226189068271553,0,0,1,4,0.48,0.65
2008-02-19,0.007927029393613338,0.01742845225941276,0,0,1,4,0.48,0.65
2008-02-20,0.01714526303112507,0.017383395838030655,0,0,1,4,0.48,0.65
2008-02-21,0.04172135517001152,0.021255652413158122,0,0,1,4,0.48,0.65
2008-02-22,0.006352578289806843,0.018884519896393327,0,0,1,4,0.48,0.65
2008-02-25,0.01630985178053379,0.018474880969628113,0,0,1,4,0.48,0.65
2008-02-26,0.1587498039007187,0.04079312405797355,0,0,1,4,0.48,0.65
2008-02-27,0.2833724021911621,0.07938835679413007,0,0,1,4,0.48,0.65
2008-02-28,0.26928555965423584,0.10960168250246549,0,0,1,4,0.48,0.65
2008-02-29,0.07355869561433792,0.10386711408360104,0,0,1,4,0.48,0.65
2008-03-03,0.0011424762196838856,0.08752325595768781,0,0,1,4,0.48,0.65
2008-03-04,0.0009891611989587545,0.07375537127879926,0,0,1,4,0.48,0.65
2008-03-05,0.0016831123502925038,0.06228841652251136,0,0,1,4,0.48,0.65
2008-03-06,0.0024935875553637743,0.05277484488454715,0,0,1,4,0.48,0.65
2008-03-07,0.0008631187374703586,0.04451550316417976,0,0,1,4,0.48,0.65
2008-03-10,0.000567522831261158,0.037523221950853156,0,0,1,4,0.48,0.65
2008-03-11,0.0005734318401664495,0.031644377888620054,0,0,1,4,0.48,0.65
2008-03-12,0.0016794628463685513,0.026876852488779947,0,0,1,4,0.48,0.65
2008-03-13,0.00044087492278777063,0.022670793691758208,0,0,1,4,0.48,0.65
2008-03-14,0.004704972729086876,0.019812367173687236,0,0,1,4,0.48,0.65
2008-03-17,0.0016441521001979709,0.016921739027053597,0,0,1,4,0.48,0.65
2008-03-18,0.0018098921282216907,0.014517390013312403,0,0,1,4,0.48,0.65
2008-03-19,0.06035682559013367,0.02181060853633108,0,0,1,4,0.48,0.65
2008-03-20,0.0015820219414308667,0.0185921678947318,0,0,1,4,0.48,0.65
2008-03-24,0.014209602028131485,0.017894885954968978,0,0,1,4,0.48,0.65
2008-03-25,0.3959267735481262,0.07804111441944514,0,0,1,4,0.48,0.65
2008-03-26,0.3060230314731598,0.11431385468002146,0,0,1,4,0.48,0.65
2008-03-27,0.027782605960965157,0.10054642281624718,0,0,1,4,0.48,0.65
2008-03-28,0.047511447221040726,0.09210836808211806,0,0,1,4,0.48,0.65
2008-03-31,0.0043183378875255585,0.07814065957317375,0,0,1,4,0.48,0.65
2008-04-01,0.0058025154285132885,0.06663140152586475,0,0,1,4,0.48,0.65
2008-04-02,0.9830831289291382,0.2124421566026512,0,0,1,4,0.48,0.65
2008-04-03,0.9827866554260254,0.3350067278550307,0,0,1,4,0.48,0.65
2008-04-04,0.9865731000900269,0.4386732733777512,0,0,1,4,0.48,0.65
2008-04-07,0.9731139540672302,0.5237047015096922,0,0,1,4,0.48,0.65
2008-04-08,0.9532498121261597,0.5920468684190119,0,0,1,4,0.48,0.65
2008-04-09,0.8995081782341003,0.6409650649813807,0,0,1,4,0.48,0.65
2008-04-10,0.13222676515579224,0.5600229777813991,0,0,1,4,0.48,0.65
2008-04-11,0.4045560956001282,0.5352876395170305,0,0,1,4,0.48,0.65
2008-04-14,0.026174141094088554,0.4542858568752181,0,0,1,4,0.48,0.65
2008-04-15,0.02065802551805973,0.38529411446053646,0,0,1,4,0.48,0.65
2008-04-16,0.02512388490140438,0.32798973981878604,0,0,1,4,0.48,0.65
2008-04-17,0.5818082690238953,0.36837317769034866,0,0,1,4,0.48,0.65
2008-04-18,0.7712230086326599,0.4324680299077055,0,0,1,4,0.48,0.65
2008-04-21,0.9768877029418945,0.5190871514938457,0,0,1,4,0.48,0.65
2008-04-22,0.9677196145057678,0.5904661845925978,0,0,1,4,0.48,0.65
2008-04-23,0.7385687232017517,0.6140298293953393,0,0,1,4,0.48,0.65
