rebalance_date,train_start,train_end,val_start,val_end,oos_start,oos_end,selected_config_id,selected_smoothing_halflife,selected_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,validation_sharpe,validation_accuracy,validation_balanced_accuracy,validation_f1
2013-04-30,1998-04-30,2009-04-29,2009-04-30,2013-04-29,2013-04-30,2013-10-29,cfg_008,4,0.55,1.0857924507592152,0.8203125,0.7097543087642098,0.8878048780487805,1.000812207847369,0.8399602385685885,0.7838675213675214,0.8909952606635071
2013-10-30,1998-10-30,2009-10-29,2009-10-30,2013-10-29,2013-10-30,2014-04-29,cfg_008,4,0.55,0.42463181651471166,0.8709677419354839,0.7517337031900139,0.9230769230769231,0.8908791780742752,0.8330019880715706,0.7846732487070992,0.8839779005524862
2014-04-30,1999-04-30,2010-04-29,2010-04-30,2014-04-29,2014-04-30,2014-10-29,cfg_008,4,0.55,1.2449392151051515,0.859375,0.7964912280701755,0.9072164948453608,0.7402792948129342,0.8339960238568589,0.7853750983336909,0.8849069607167471
2014-10-30,1999-11-01,2010-10-29,2010-11-01,2014-10-29,2014-10-30,2015-04-29,cfg_010,8,0.5,-0.04891349236615017,0.7016129032258065,0.5435606060606061,0.8140703517587939,0.9327845486356958,0.8031809145129225,0.6916327982117456,0.8740458015267175
2015-04-30,2000-05-01,2011-04-29,2011-05-02,2015-04-29,2015-04-30,2015-10-29,cfg_010,8,0.5,-0.9829262943382399,0.65625,0.65625,0.6986301369863014,0.52862838647337,0.7781094527363184,0.6855604951185494,0.8529993408042189
2015-10-30,2000-10-30,2011-10-28,2011-10-31,2015-10-29,2015-10-30,2016-04-29,cfg_011,8,0.55,0.07716115616651076,0.832,0.8312697576396206,0.8531468531468531,0.5053694109466669,0.7703777335984096,0.6673324213406293,0.8499025341130604
2016-05-02,2001-05-02,2012-05-01,2012-05-02,2016-04-29,2016-05-02,2016-11-01,cfg_009,8,0.45,0.7000019078963714,0.6976744186046512,0.524390243902439,0.8186046511627907,0.6669328393791425,0.7791044776119403,0.6777160447481042,0.8550913838120104
2016-11-02,2001-11-02,2012-11-01,2012-11-02,2016-11-01,2016-11-02,2017-05-01,cfg_009,8,0.45,3.0318752589705618,0.926829268292683,0.8413865546218487,0.961038961038961,0.9023870519630071,0.7735849056603774,0.6543030372144296,0.8547770700636943
2017-05-02,2002-05-02,2013-05-01,2013-05-02,2017-05-01,2017-05-02,2017-11-01,cfg_009,8,0.45,2.3089923623597146,0.9147286821705426,0.5,0.9554655870445344,0.8702211550259897,0.7785501489572989,0.646829014832897,0.8601880877742947
2017-11-02,2002-11-04,2013-11-01,2013-11-04,2017-11-01,2017-11-02,2018-05-01,cfg_001,0,0.5,0.5269852542835023,0.9105691056910569,0.894649751792609,0.9290322580645162,0.7071671212623802,0.8927507447864945,0.8430732289245075,0.9287598944591029
2018-05-02,2003-05-02,2014-05-01,2014-05-02,2018-05-01,2018-05-02,2018-11-01,cfg_010,8,0.5,0.2601708665532155,0.7829457364341085,0.673219814241486,0.86,0.6700023744463262,0.7944389275074478,0.705117541897305,0.8637261356155366
2018-11-02,2003-11-03,2014-10-31,2014-11-03,2018-11-01,2018-11-02,2019-05-01,cfg_009,8,0.45,2.453948109661156,0.8688524590163934,0.8845720720720721,0.8823529411764706,0.6532371780477815,0.7837301587301587,0.6712685074029612,0.8604353393085787
2019-05-02,2004-05-03,2015-05-01,2015-05-04,2019-05-01,2019-05-02,2019-11-01,cfg_001,0,0.5,1.4181084510826558,0.9302325581395349,0.9228801169590644,0.9403973509933775,0.8051047959922921,0.8956262425447317,0.8627371045134202,0.9267271458478716
2019-11-04,2004-11-04,2015-11-03,2015-11-04,2019-11-01,2019-11-04,2020-05-01,cfg_001,0,0.5,-0.019881207631323287,0.8629032258064516,0.8722473604826546,0.8944099378881988,0.8322734458859415,0.9015904572564613,0.8659566602206803,0.9316770186335404
2020-05-04,2005-05-04,2016-05-03,2016-05-04,2020-05-01,2020-05-04,2020-11-03,cfg_002,0,0.55,0.7503259350698427,0.8217054263565892,0.8140506329113923,0.8535031847133758,0.8056360774432709,0.8916500994035785,0.862256792223216,0.9249827942188575
2020-11-04,2005-11-04,2016-11-03,2016-11-04,2020-11-03,2020-11-04,2021-05-03,cfg_005,2,0.55,1.7297119446620337,0.8373983739837398,0.6490740740740741,0.9065420560747663,1.048468144703245,0.885685884691849,0.8642987863610094,0.9192982456140351
2021-05-04,2006-05-04,2017-05-03,2017-05-04,2021-05-03,2021-05-04,2021-11-03,cfg_001,0,0.5,1.3411424754002361,0.8992248062015504,0.8323903818953324,0.9365853658536586,0.9935730117429402,0.8926441351888668,0.865911768986287,0.923943661971831
2021-11-04,2006-11-06,2017-11-03,2017-11-06,2021-11-03,2021-11-04,2022-05-03,cfg_011,8,0.55,-0.5069811939240789,0.7258064516129032,0.7301177146138387,0.6530612244897959,0.9452900590664859,0.7882703777335984,0.7497175655976677,0.8464311463590483
2022-05-04,2007-05-04,2018-05-03,2018-05-04,2022-05-03,2022-05-04,2022-11-03,cfg_001,0,0.5,-2.062585132790719,0.890625,0.831765935214211,0.75,0.8554954746974751,0.8907646474677259,0.8769015003261578,0.9167927382753404
2022-11-04,2007-11-05,2018-11-02,2018-11-05,2022-11-03,2022-11-04,2023-05-03,cfg_007,4,0.5,-0.7541296062359276,0.7642276422764228,0.7638888888888888,0.7563025210084033,0.757689569340006,0.8311817279046674,0.8223655310425615,0.8585690515806988
2023-05-04,2008-05-05,2019-05-03,2019-05-06,2023-05-03,2023-05-04,2023-11-03,cfg_008,4,0.55,0.9951844105495992,0.8125,0.8125,0.7966101694915254,0.4949498605791012,0.8033763654419066,0.7987540257648953,0.82842287694974
2023-11-06,2008-11-06,2019-11-05,2019-11-06,2023-11-03,2023-11-06,2024-05-03,cfg_008,4,0.55,3.313578664150957,0.9758064516129032,0.9365035733919735,0.986046511627907,0.750249467218034,0.8071570576540755,0.8035133298210759,0.8298245614035088
2024-05-06,2009-05-06,2020-05-05,2020-05-06,2024-05-03,2024-05-06,2024-11-05,cfg_008,4,0.55,0.48098911317328513,0.84375,0.7405085336119819,0.9019607843137255,1.0918840594583719,0.8240556660039762,0.8173178609197702,0.8513853904282116
2024-11-06,2009-11-06,2020-11-05,2020-11-06,2024-11-05,2024-11-06,2025-05-05,cfg_008,4,0.55,-1.0329308814333966,0.7868852459016393,0.7840653153153153,0.74,1.067018180033931,0.8427860696517413,0.8314924356343516,0.8723747980613893
2025-05-06,2010-05-06,2021-05-05,2021-05-06,2025-05-05,2025-05-06,2025-11-05,cfg_008,4,0.55,2.8310686063351933,0.9140625,0.4957627118644068,0.9551020408163265,0.6324755133435056,0.8326693227091634,0.829881852381582,0.8491921005385996
2025-11-06,2010-11-08,2021-11-05,2021-11-08,2025-11-05,2025-11-06,2026-04-10,cfg_007,4,0.5,-0.7269066666068491,0.7169811320754716,0.7349706744868035,0.7115384615384616,0.6589714659447361,0.8354935194416749,0.8285317864828567,0.8583690987124464
