Date,equity_current_baseline,equity_buy_and_hold,equity_fixed_rising_floor_048,equity_fixed_rising_floor_049,equity_fixed_rising_floor_050,equity_fixed_rising_floor_051,equity_fixed_rising_floor_052,equity_fixed_rising_floor_053,equity_dynamic_rising_floor
2024-03-06,3.790110342962752,5.745038919063481,4.717319690613445,4.9010931678666525,4.927629069350506,5.438632846253384,5.553382538784164,5.096387017025594,4.813848643365407
2024-03-07,3.827732774237273,5.802067251169228,4.764146041247162,4.94974374111987,4.976543050536355,5.492619293076875,5.60850804543187,5.14697616956898,4.8616331861260775
2024-03-08,3.804757971613285,5.767241754615631,4.735550702589719,4.920034408677191,4.946672863383951,5.4596515151284,5.574844680469167,5.1160830094189,4.832452710510526
2024-03-11,3.801486182152832,5.762283091891679,4.7314785053583135,4.915803570120974,4.942419117873862,5.454956648748406,5.57005075712232,5.1116835846476265,4.828297185253901
2024-03-12,3.842380169738126,5.824270086721375,4.7823767630362175,4.968684680438315,4.995586541445343,5.513637627392896,5.629969845499019,5.166671848456637,4.880236957145973
2024-03-13,3.836357447202503,5.815140506923227,4.774880646818612,4.960896536664056,4.9877562304629,5.504995299428241,5.621145173091427,5.158573370533774,4.872587450381267
2024-03-14,3.828773787558797,5.803644862914628,4.765441727175919,4.951089903319936,4.977896501238454,5.494113098990556,5.610033369150511,5.148375972291402,4.862955385247495
2024-03-15,3.8024828970351416,5.763793202776109,4.732719055715633,4.9170924488231655,4.943714974929064,5.456386888452995,5.571511173448679,5.113023821296754,4.829563120582917
2024-03-18,3.825081396075494,5.798048299384125,4.760846032203085,4.946315173026,4.973095919207293,5.488814688183177,5.604623167194835,5.143410983329479,4.858265650088287
2024-03-19,3.846338585006392,5.830269181564156,4.787303561624888,4.973803413211597,5.000732988482349,5.519317770013829,5.635769833426247,5.171994547363977,4.885264571184809
2024-03-20,3.88191419523956,5.88419565473411,4.831582358671025,5.019807187370892,5.046985840057062,5.570367123418239,5.687896276932646,5.219831433815508,4.930449430611345
2024-03-21,3.894742790086169,5.903640496992999,4.8475493299717884,5.036396186863423,5.063664657074209,5.588775563012509,5.706693116119816,5.237081455135952,4.946743128765357
2024-03-22,3.887359172867965,5.892448076747292,4.838359390962214,5.026848233736024,5.054065008634176,5.578180414192727,5.695874420297734,5.227153044740352,4.937365139073059
2024-03-25,3.876618666556081,5.8761687068010255,4.824991336386631,5.012959397438067,5.040100974257116,5.5627682849596924,5.68013711061205,5.212710780011622,4.923723538417679
