Date,spy_predicted_label,spy_predicted_bull_flag,spy_predicted_bear_flag,spy_smoothed_prob,mid_predicted_label,mid_predicted_bull_flag,mid_predicted_bear_flag,mid_smoothed_prob,rut_predicted_label,rut_predicted_bull_flag,rut_predicted_bear_flag,rut_smoothed_prob
2016-02-02,0.0,0.0,1.0,0.09931279137071451,0,0,1,0.09736386878967593,0,0,1,0.09689281661835356
2016-02-03,0.0,0.0,1.0,0.0913167024013836,0,0,1,0.09035809530588904,0,0,1,0.08977982077238555
2016-02-04,0.0,0.0,1.0,0.08420069893296718,0,0,1,0.08558336582055408,0,0,1,0.08431239596404501
2016-02-05,0.0,0.0,1.0,0.07889634554862268,0,0,1,0.08386893113647094,0,0,1,0.07936064287007386
2016-02-08,0.0,0.0,1.0,0.07245155058536831,0,0,1,0.0778196725626484,0,0,1,0.0729497553600307
2016-02-09,0.0,0.0,1.0,0.06672279958230529,0,0,1,0.07160166634368424,0,0,1,0.06711828081793515
2016-02-10,0.0,0.0,1.0,0.06132291647913581,0,0,1,0.06583402996095002,0,0,1,0.06173054844486489
2016-02-11,0.0,0.0,1.0,0.056326738597045865,0,0,1,0.06059354222115134,0,0,1,0.056783190335793945
2016-02-12,0.0,0.0,1.0,0.05183591196029569,0,0,1,0.055833026545692555,0,0,1,0.052264629093423595
2016-02-16,0.0,0.0,1.0,0.0477378476271337,0,0,1,0.05198875682580144,0,0,1,0.04809780588235839
2016-02-17,0.0,0.0,1.0,0.055947341979172574,0,0,1,0.056620777114603546,0,0,1,0.04609811209672877
2016-02-18,0.0,0.0,1.0,0.11071120688671159,0,0,1,0.06481930247435011,0,0,1,0.06513413278956391
2016-02-19,0.0,0.0,1.0,0.12315472476388058,0,0,1,0.07470074160071527,0,0,1,0.07387123740627818
2016-02-22,0.0,0.0,1.0,0.16213872819374692,0,0,1,0.0853890766571376,0,0,1,0.10469135375879929
2016-02-23,0.0,0.0,1.0,0.22071947332930894,0,0,1,0.12587487566038813,0,0,1,0.13333453625975633
2016-02-24,0.0,0.0,1.0,0.2658839376407834,0,0,1,0.1277613819326401,0,0,1,0.14415747476835716
2016-02-25,0.0,0.0,1.0,0.31786870997522987,0,0,1,0.14106887145378572,0,0,1,0.15034513478232514
2016-02-26,0.0,0.0,1.0,0.3545232883120041,0,0,1,0.19898472517034393,0,0,1,0.17822085896849654
2016-02-29,0.0,0.0,1.0,0.39967662939107246,0,0,1,0.2559882199061444,0,0,1,0.20152038716262569
2016-03-01,0.0,0.0,1.0,0.42964307658215384,0,0,1,0.3118560992816247,0,0,1,0.2483783351122356
2016-03-02,0.0,0.0,1.0,0.474283350684015,0,0,1,0.36775043254314294,0,0,1,0.30319650096323314
2016-03-03,1.0,1.0,0.0,0.5158149375362711,0,0,1,0.419735664012713,0,0,1,0.35475249720583124
2016-03-04,1.0,1.0,0.0,0.5538798916551849,0,0,1,0.46743934241803864,0,0,1,0.40521922036628455
2016-03-07,1.0,1.0,0.0,0.5883575691648686,0,0,1,0.511226174024349,1,1,0,0.4514230421347031
2016-03-08,1.0,1.0,0.0,0.6209646810866511,1,1,0,0.551284641300247,1,1,0,0.4956660855624491
2016-03-09,1.0,1.0,0.0,0.646018206655425,1,1,0,0.5855539835631807,1,1,0,0.523825726368895
2016-03-10,1.0,1.0,0.0,0.6745359220896908,1,1,0,0.6182150387549431,1,1,0,0.5596097198856567
2016-03-11,1.0,1.0,0.0,0.7008724066451937,1,1,0,0.6476742702914192,1,1,0,0.5708573000005148
2016-03-14,1.0,1.0,0.0,0.724412740185914,1,1,0,0.6762092152540894,1,1,0,0.6041417119276923
2016-03-15,1.0,1.0,0.0,0.7465972831403078,1,1,0,0.7027509030217374,1,1,0,0.6346297508297905
2016-03-16,1.0,1.0,0.0,0.7668620907165613,1,1,0,0.7267487946016504,1,1,0,0.6409409567391109
2016-03-17,1.0,1.0,0.0,0.7853916385081854,1,1,0,0.7491847833775513,1,1,0,0.6558942547646707
2016-03-18,1.0,1.0,0.0,0.8027140515687494,1,1,0,0.7695426674657686,1,1,0,0.6831249306060379
2016-03-21,1.0,1.0,0.0,0.8189342563730913,1,1,0,0.7873150130979942,1,1,0,0.7075229269946671
2016-03-22,1.0,1.0,0.0,0.8337601060961868,1,1,0,0.8043510481785883,1,1,0,0.7312665689907809
2016-03-23,1.0,1.0,0.0,0.8472746124279887,1,1,0,0.8198575214525098,1,1,0,0.752713813563976
2016-03-24,1.0,1.0,0.0,0.8594323806785642,1,1,0,0.833755617154909,1,1,0,0.7480812264088353
2016-03-28,1.0,1.0,0.0,0.8687858175778871,1,1,0,0.846345852756083,1,1,0,0.744251196485621
2016-03-29,1.0,1.0,0.0,0.8764731847497613,1,1,0,0.8582443467053374,1,1,0,0.7390956092267034
2016-03-30,1.0,1.0,0.0,0.8865343451330392,1,1,0,0.8684695732620747,1,1,0,0.7597495345724617
2016-03-31,1.0,1.0,0.0,0.8954703315875863,1,1,0,0.8784592271389143,1,1,0,0.7791392515902325
2016-04-01,1.0,1.0,0.0,0.9035719665030195,1,1,0,0.8875682379192108,1,1,0,0.7968711957010788
2016-04-04,1.0,1.0,0.0,0.9111914579633784,1,1,0,0.8957744667372972,1,1,0,0.8128916718497057
2016-04-05,1.0,1.0,0.0,0.9181859729625859,1,1,0,0.9015155555642111,1,1,0,0.825432907554775
2016-04-06,1.0,1.0,0.0,0.9105309107443447,1,1,0,0.8876756115424739,1,1,0,0.7907885538112156
2016-04-07,1.0,1.0,0.0,0.9177917600520116,1,1,0,0.8937858870940546,1,1,0,0.8045927730739677
2016-04-08,1.0,1.0,0.0,0.9208549150191261,1,1,0,0.8677197295578017,1,1,0,0.7758455578076265
2016-04-11,1.0,1.0,0.0,0.9190947337150989,1,1,0,0.8491639072159785,1,1,0,0.7670392371718734
2016-04-12,1.0,1.0,0.0,0.9190516514084571,1,1,0,0.856597718887209,1,1,0,0.7555100566491362
2016-04-13,1.0,1.0,0.0,0.9151784457910246,1,1,0,0.8660185912142236,1,1,0,0.7544111007862435
2016-04-14,1.0,1.0,0.0,0.9211876652054093,1,1,0,0.8767138656583116,1,1,0,0.7742602309285926
2016-04-15,1.0,1.0,0.0,0.9271232643293965,1,1,0,0.8864249854138109,1,1,0,0.7925412036805851
2016-04-18,1.0,1.0,0.0,0.932756650513498,1,1,0,0.8950498276169991,1,1,0,0.8091378712913491
2016-04-19,1.0,1.0,0.0,0.9378423528669311,1,1,0,0.9031239717974888,1,1,0,0.8241025474576235
2016-04-20,1.0,1.0,0.0,0.942700906730366,1,1,0,0.9106489425030478,1,1,0,0.8380311474139316
2016-04-21,1.0,1.0,0.0,0.9470569004620837,1,1,0,0.9178572095287932,1,1,0,0.8508452891709807
2016-04-22,1.0,1.0,0.0,0.9483470280579736,1,1,0,0.9242178044869612,1,1,0,0.8629645503312706
