Date,asset,predicted_probability_raw,predicted_probability_smoothed,predicted_label,predicted_bear_flag,predicted_bull_flag
2008-05-12,spy,0.5407474040985107,0.8925243634248587,1,0,1
2008-05-13,mid,0.9974489808082581,0.9799673875716095,1,0,1
2008-05-13,rut,0.9861747026443481,0.8230872841946525,1,0,1
2008-05-13,spy,0.940394937992096,0.8964974275634087,1,0,1
2008-05-14,mid,0.9975874423980713,0.9814297808807179,1,0,1
2008-05-14,rut,0.9876422882080078,0.8367446841982,1,0,1
2008-05-14,spy,0.6981011033058167,0.8800313348069735,1,0,1
2008-05-15,mid,0.9959174990653992,0.9826322029132365,1,0,1
2008-05-15,rut,0.9903754591941833,0.8494954173621996,1,0,1
2008-05-15,spy,0.9581661820411682,0.8865162112122323,1,0,1
2008-05-16,mid,0.996145486831665,0.9837537508414934,1,0,1
2008-05-16,rut,0.994786262512207,0.8615539700690263,1,0,1
2008-05-16,spy,0.9667704105377197,0.8931769852720942,1,0,1
2008-05-19,mid,0.9938381314277649,0.9845907136569392,1,0,1
2008-05-19,rut,0.9911013841629028,0.8723058816521083,1,0,1
2008-05-19,spy,0.9429011940956116,0.8973038935592927,1,0,1
2008-05-20,mid,0.9977250695228577,0.9856808120889213,1,0,1
2008-05-20,rut,0.9824607968330383,0.881448294233258,1,0,1
2008-05-20,spy,0.9500187039375305,0.9016790096839189,1,0,1
2008-05-21,mid,0.9976951479911804,0.9866779533923898,1,0,1
2008-05-21,rut,0.8949306011199951,0.8825672711931309,1,0,1
2008-05-21,spy,0.9887139201164246,0.9089025553498604,1,0,1
2008-05-22,mid,0.8377874493598938,0.974320643552474,1,0,1
2008-05-22,rut,0.8078860640525818,0.876369032951871,1,0,1
2008-05-22,spy,0.14508767426013947,0.8455090084793088,1,0,1
2008-05-23,mid,0.7910625338554382,0.9591109613976653,1,0,1
2008-05-23,rut,0.9504579901695251,0.8825181168441184,1,0,1
2008-05-23,spy,0.19221724569797516,0.7912884335607651,1,0,1
2008-05-27,mid,0.7718486785888672,0.9435689490642717,1,0,1
2008-05-27,rut,0.5585595965385437,0.8556308694893583,1,0,1
2008-05-27,spy,0.014882107265293598,0.7268498476479262,1,0,1
2008-05-28,mid,0.760742723941803,0.9283951115829543,1,0,1
2008-05-28,rut,0.9320738911628723,0.8619753312134777,1,0,1
2008-05-28,spy,0.05686059966683388,0.6712434489691526,1,0,1
2008-05-29,mid,0.8722261786460876,0.9237333172516864,1,0,1
2008-05-29,rut,0.9099410176277161,0.8659562892507722,1,0,1
2008-05-29,spy,0.0872049629688263,0.6227706160182602,1,0,1
2008-05-30,mid,0.9714776873588562,0.9276959069303212,1,0,1
2008-05-30,rut,0.9876295328140259,0.8760546765166954,1,0,1
2008-05-30,spy,0.8894633650779724,0.6449050358968476,1,0,1
2008-06-02,mid,0.9788482189178467,0.9319413420060191,1,0,1
2008-06-02,rut,0.9952099919319153,0.8859440859268308,1,0,1
2008-06-02,spy,0.8121272921562195,0.6587838070525678,1,0,1
2008-06-03,mid,0.8567565679550171,0.9257013097472155,1,0,1
2008-06-03,rut,0.9304349422454834,0.8896366471156409,1,0,1
2008-06-03,spy,0.1344364434480667,0.6152650959171041,1,0,1
2008-06-04,mid,0.8256097435951233,0.9173941144472797,1,0,1
2008-06-04,rut,0.9647297859191895,0.8958690740194059,1,0,1
2008-06-04,spy,0.10576225072145462,0.5729784197901489,1,0,1
2008-06-05,mid,0.9474021196365356,0.9198846575494811,1,0,1
2008-06-05,rut,0.9551323056221008,0.9007876826290546,1,0,1
2008-06-05,spy,0.1066451296210289,0.5342746421870491,1,0,1
2008-06-06,mid,0.9986231327056885,0.9264196326316758,1,0,1
2008-06-06,rut,0.9950862526893616,0.9086140826756411,1,0,1
2008-06-06,spy,0.8980231285095215,0.5644642958422352,1,0,1
2008-06-09,mid,0.5180116295814514,0.8925234196556528,1,0,1
2008-06-09,rut,0.21941432356834412,0.8514132892454209,1,0,1
2008-06-09,spy,0.015148879960179329,0.51887333731868,1,0,1
2008-06-10,mid,0.2330651581287384,0.8377910502736424,1,0,1
2008-06-10,rut,0.21542491018772125,0.7986288252148169,1,0,1
2008-06-10,spy,0.012479940429329872,0.47684473282901174,0,1,0
2008-06-11,mid,0.24020130932331085,0.788193517952397,1,0,1
2008-06-11,rut,0.3420342803001404,0.7607333240920957,1,0,1
